axis	covered	not_covered
question	complete_metric_natural_nonblock_reciprocal_angular_invariant	action_source_carrier_mass_or_empirical_fit
continuous_representation	all_real_regular_linear_2x2_generators	nonlinear_field_dependent_and_higher_jet_actions
covariance_type	equivariant_maps_and_invariant_bilinear_cross_blocks	arbitrary_higher_rank_tensor_functors
seal	all_registered_constant_plus_minus_reflection_exchange_controls	field_dependent_global_seal_transports
metric	general_block_naturality_and_exact_zero_nonzero_Lorentz_witnesses	complete_on_shell_native_field_solution
c_anchor	explicit_dimension_matched_and_raw_coordinate_restoration	total_mass_Xmax_or_angular_radius_selection
dphi_field_assisted_structure	rank3_plus_rank3_relation_to_rank2_angular_question	global_nonnull_persistence_or_section
completion	all_12_registered_parametric_rows	arbitrary_four_manifolds
selection	Reciprocity_CSN_c_seal_finite_cell_current_bootstrap	future_native_equation_or_operational_bootstrap
compute	CPU_exact_symbolic_and_fraction	GPU_or_long_solve
maximum	conditional_intertwiner_rigidity_plus_nonselection	no_action_matter_Hopf_or_universe_selection
