case_id	angular_generator_B	kernel_dimension	maximum_C_rank	basis	classification	scope
B01_ANGULAR_IDENTITY	[[0, 0], [0, 0]]	0	0	-	ZERO_ONLY	NO_CONSTANT_CONTINUOUS_CROSS_METRIC_WITH_SPECTATOR_ANGULAR_ACTION
B02_MATCHED_RECIPROCAL	[[-1, 0], [0, 1]]	2	2	[[0, 1], [0, 0]];[[0, 0], [1, 0]]	INVERTIBLE_AVAILABLE	TWO_PARAMETER_ANTIDIAGONAL_DUAL_WEIGHT_PAIRING
B03_INVERSE_RECIPROCAL	[[1, 0], [0, -1]]	2	2	[[1, 0], [0, 0]];[[0, 0], [0, 1]]	INVERTIBLE_AVAILABLE	TWO_PARAMETER_DIAGONAL_DUAL_WEIGHT_PAIRING
B04_REPEATED_PLUS_WEIGHT	[[1, 0], [0, 1]]	2	1	[[1, 0], [0, 0]];[[0, 1], [0, 0]]	RANK_ONE_ONLY	ONE_RECIPROCAL_ROW_PAIRS_WITH_REPEATED_PLUS_WEIGHT
B05_REPEATED_MINUS_WEIGHT	[[-1, 0], [0, -1]]	2	1	[[0, 0], [1, 0]];[[0, 0], [0, 1]]	RANK_ONE_ONLY	ONE_RECIPROCAL_ROW_PAIRS_WITH_REPEATED_MINUS_WEIGHT
B06_ROTATION_GENERATOR	[[0, -1], [1, 0]]	0	0	-	ZERO_ONLY	ROTATION_HAS_NO_REAL_DUAL_RECIPROCAL_WEIGHT
B07_PLUS_JORDAN	[[1, 1], [0, 1]]	1	1	[[0, 1], [0, 0]]	RANK_ONE_ONLY	JORDAN_DEFECT_PREVENTS_FULL_CROSS_PAIRING
B08_ONE_MATCHED_ONE_GENERIC	[[-1, 0], [0, 2]]	1	1	[[0, 0], [1, 0]]	RANK_ONE_ONLY	ONLY_ONE_DUAL_WEIGHT_MATCHES
B09_NO_MATCHED_REAL_WEIGHT	[[2, 0], [0, 3]]	0	0	-	ZERO_ONLY	NO_DUAL_PLUS_OR_MINUS_ONE_WEIGHT
B10_CONJUGATE_RECIPROCAL	[[-1, -2], [0, 1]]	2	2	[[0, 1], [0, 0]];[[0, 0], [1, 1]]	INVERTIBLE_AVAILABLE	B_SIMILAR_TO_MINUS_L_EQUIVALENTLY_TO_L_ADMITS_FULL_PAIRING
