case_id	angular_generator_B	trace_B	det_B	kernel_dimension	maximum_S_rank	basis	classification	scope
G01_ANGULAR_IDENTITY	[[0, 0], [0, 0]]	0	0	0	0	-	ZERO_ONLY	UNTRANSFORMED_ANGULAR_SPECTATOR
G02_MATCHED_RECIPROCAL	[[-1, 0], [0, 1]]	0	-1	2	2	[[1, 0], [0, 0]];[[0, 0], [0, 1]]	INVERTIBLE_AVAILABLE	TWO_PARAMETER_DIAGONAL_INTERTWINER_FAMILY
G03_INVERSE_RECIPROCAL	[[1, 0], [0, -1]]	0	-1	2	2	[[0, 1], [0, 0]];[[0, 0], [1, 0]]	INVERTIBLE_AVAILABLE	TWO_PARAMETER_ANTIDIAGONAL_INTERTWINER_FAMILY
G04_REPEATED_PLUS_WEIGHT	[[1, 0], [0, 1]]	2	1	2	1	[[0, 0], [1, 0]];[[0, 0], [0, 1]]	RANK_ONE_ONLY	ONLY_PLUS_RECIPROCAL_ROW_CAN_INTERTWINE
G05_REPEATED_MINUS_WEIGHT	[[-1, 0], [0, -1]]	-2	1	2	1	[[1, 0], [0, 0]];[[0, 1], [0, 0]]	RANK_ONE_ONLY	ONLY_MINUS_RECIPROCAL_ROW_CAN_INTERTWINE
G06_ROTATION_GENERATOR	[[0, -1], [1, 0]]	0	1	0	0	-	ZERO_ONLY	COMPACT_ROTATION_WEIGHTS_DO_NOT_MATCH_REAL_RECIPROCAL_WEIGHTS
G07_PLUS_JORDAN	[[1, 1], [0, 1]]	2	1	1	1	[[0, 0], [0, 1]]	RANK_ONE_ONLY	ONE_LEFT_PLUS_EIGENVECTOR_NO_FULL_SOLDERING
G08_ONE_MATCHED_ONE_GENERIC	[[-1, 0], [0, 2]]	1	-2	1	1	[[1, 0], [0, 0]]	RANK_ONE_ONLY	ONE_MATCHED_WEIGHT_NO_FULL_SOLDERING
G09_NO_MATCHED_REAL_WEIGHT	[[2, 0], [0, 3]]	5	6	0	0	-	ZERO_ONLY	NO_PLUS_OR_MINUS_ONE_EIGENVALUE
G10_CONJUGATE_RECIPROCAL	[[-1, -2], [0, 1]]	0	-1	2	2	[[1, 1], [0, 0]];[[0, 0], [0, 1]]	INVERTIBLE_AVAILABLE	GENERAL_B_SIMILAR_TO_L_HAS_FULL_INTERTWINER
