premise_id	object	status	treatment
P01	c_and_inverse_conversion	FOUNDING_PLUS_OBSERVED	pinned_dimensionful_clock_ruler_anchor
P02	reciprocal_character	DERIVED_CONDITIONAL	exact_input_with_sign_unit_premises_visible
P03	common_scale_neutrality	FOUNDING	positive_scale_not_selector
P04	complete_metric_amplitudes	REGISTERED_FREE	zero_and_nonzero_cross_blocks_retained
P05	angular_two_plane	CONDITIONAL_REGISTERED	physical_owner_not_assumed
P06	angular_continuous_representation	OPEN	free_and_classified
P07	angular_seal_lift	MULTIPLE_REGISTERED	all_four_classes_retained
P08	physical_reciprocal_angular_map	OPEN	candidate_conclusion_not_input
P09	angular_length_normalization	OPEN	not_supplied_by_c_alone
P10	dphi_3plus3_reduction	DERIVED_ON_NONNULL_STRATUM	no_global_persistence_or_owner
P11	twelve_completions	CHARACTERIZED_BOUNDED_PARAMETRIC	all_retained_none_ranked
P12	action_source_carrier_density_mass	OPEN_EXCLUDED	not_imported
