catch_id	mutation	status
C01	remove_generator_case	CAUGHT
C02	duplicate_generator_case	CAUGHT
C03	promote_identity_angular_to_nonzero	CAUGHT
C04	promote_identity_bilinear_to_nonzero	CAUGHT
C05	promote_rank_one_to_invertible	CAUGHT
C06	reject_conjugate_matched_representation	CAUGHT
C07	force_unique_two_parameter_continuous_intertwiner	CAUGHT
C08	remove_seal_lift	CAUGHT
C09	promote_plus_identity_seal_to_invertible	CAUGHT
C10	reject_axis_reflection_invertible_family	CAUGHT
C11	remove_combined_pair	CAUGHT
C12	remove_combined_bilinear_pair	CAUGHT
C13	promote_mismatched_combined_pair	CAUGHT
C14	demote_conditional_pair_to_zero	CAUGHT
C15	remove_c_from_raw_metric	CAUGHT
C16	make_c_select_angular_radius	CAUGHT
C17	change_intertwiner_rank_with_c	CAUGHT
C18	promote_metric_cross_block_to_full_frame_invariant	CAUGHT
C19	discard_zero_cross_block	CAUGHT
C20	mutate_nonblock_witness_signature	CAUGHT
C21	use_g_and_D_without_bundle_map	CAUGHT
C22	promote_3plus3_to_unique_angular_plane	CAUGHT
C23	remove_completion	CAUGHT
C24	duplicate_completion	CAUGHT
C25	select_completion	CAUGHT
C26	promote_toric_control_to_founded	CAUGHT
C27	claim_complete_g_phi_witness	CAUGHT
C28	promote_soldering_to_action_or_carrier	CAUGHT
C29	alter_source_hash	CAUGHT
