completion_id	topology_family	angular_representation_status	intertwiner_status	complete_g_phi_witness	selection_ruling	scope_guard
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC04_TWO_CAP_P1	S3	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	SINGULAR_OR_ORBIFOLD_CAP_DATA	REGULAR_COMPLEMENT_ONLY_IF_MATCHED_REPRESENTATION_SUPPLIED	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	NO_THROUGH_SINGULARITY_SOLDERING_CLAIM
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	GENERAL_GL2Z_MONODROMY__NO_MATCHED_CONTINUOUS_CHARACTER_REQUIRED	CONDITIONAL_ONLY_IF_MONODROMY_AND_GENERATOR_ARE_EQUIVARIANT	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	MONODROMY_DOES_NOT_SELECT_ANGULAR_GENERATOR
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	MULTIPLE_DISCRETE_SEAL_LIFTS__NO_CONTINUOUS_ANGULAR_CHARACTER_SELECTED	DISCRETE_RANK0_RANK1_OR_RANK2_CASES_SURVIVE_BY_LIFT	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	DISCRETE_SEAL_COMPATIBILITY_IS_NOT_CONTINUOUS_SOLDERING
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC11_NONINTEGRABLE_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	NO_UNIQUE_MATCHED_CONTINUOUS_ANGULAR_REPRESENTATION_SUPPLIED	ZERO_OR_CONDITIONAL_MATCHED_BRANCHES_REMAIN	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	COMPLETION_TYPE_DOES_NOT_CREATE_REPRESENTATION_MATCH
FC12_RECIPROCAL_TORIC_DIAGONAL	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	MATCHED_CONTINUOUS_REPRESENTATION_SUPPLIED_CONDITIONALLY	INVERTIBLE_FAMILY_EXISTS__PAIR_CAN_REDUCE_TO_ONE_SCALE_WITH_MATCHED_SEAL	NO	REGISTERED_ALTERNATIVE_NOT_SELECTED_BY_INTERTWINER	TORUS_BASIS_PERIODS_RECIPROCAL_ASSIGNMENT_ENDPOINTS_AND_PHYSICAL_OWNER_UNSELECTED
