source_or_registry	prior_statement	new_ruling	reason
CURRENT_SCIENTIFIC_PREMISES_G28	exact physical depth structurally belongs in a real observer/path groupoid 1-cocycle	SURVIVES_WITH_TYPED_SCOPE	universal additivity of independently rebuilt tapes is not founded but any claimed physical signed depth still needs owned cocycle-type composition
CURRENT_SCIENTIFIC_PREMISES_G35	flag formula is conditional on supplied causal flag and arrow	CLARIFIED_BY_PAIR_METRIC_DECOMPOSITION	pair pullback metric supplies the same graded densities only after physical calibration and pair-map data are supplied
CURRENT_SCIENTIFIC_PREMISES_G36	general bilocal/global calibration-state functor open	REPRESENTABLE_AS_CALIBRATED_PAIR_SURFACE_BUT_OWNER_REMAINS_OPEN	no extra scalar is needed after a calibrated pair metric is supplied but the physical calibration-state and pair-map realization is not derived
udt_reciprocal_calibration_state_solder_audit_2026-08-09	metric compatible transport gives zero depth	SURVIVES_IN_ITS_NORMALIZED_TRANSPORT_SCOPE	normalized frame transport is not the terminal pair-metric readout
udt_reciprocal_calibration_state_solder_audit_2026-08-09	dexp rejected as compositional four-dimensional arrow	SURVIVES_AS_UNIVERSAL_ARROW_NEGATIVE__CONDITIONAL_AS_PAIR_MAP_COMPONENT	terminal pair readout does not require arbitrary subdivision additivity
udt_founding_phi_ownership_morphism_audit_2026-08-05	pointwise factorization phi nonidentifiable	SURVIVES_WITHOUT_PHYSICAL_PAIR_CALIBRATION__RELATIONAL_PHI_UNIQUE_AFTER_CALIBRATION	independent reciprocal endpoint refactorization changes the physical tape
udt_ceff_profile_binding_test_2026-08-06	natural chart identity reads profile	REQUIRE_A_CALIBRATED_PAIR_MAP	arbitrary coordinate identity remains a chart artifact
common_scale_neutrality	physical scale-free framing	NOT_REINSTATED	only algebraic common-scale cancellation of phi is used; c_E calibrates the tape
phi_orchestra	angular/mixing can modulate one complete pair depth	CLARIFIED_STRUCTURAL_WITNESS	full pullback metric receives orchestra before the terminal decomposition on supplied pair Jacobians; no physical pair map selected
Xmax_working_frame	phi divergence at positional asymptote	UNCHANGED__CONDITIONAL_PAIR_RATIO_EXPLICIT	if the pair readout is physically identified on a realizing branch then phi->infinity iff T/L tends to zero; value and profile remain open
