endpoint_id	family	n_exact	q_ratio	B_wall	radial_flux_exponent_u	frequency_weight_exponent_u	liouville_length	angular_potential_exponent_x	rotation_potential_exponent_x	endpoint_character	extension_status	D_N_status
E0_n1.035411058190	R0_ROUND_P1	5000/4829	-	ZERO	5000/4829	-5000/4829	INFINITE	DECAYS_TO_ZERO	ABSENT	LIMIT_POINT	UNIQUE_ENDPOINT_DOMAIN_DERIVED	NOT_FREE_ENDPOINT_DATA
E1_n1.035411058190_qr-2.00	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	-2/1	INFINITY	-2158/4829	2158/4829	FINITE	-4/3	-2/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr-1.00	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	-1/1	INFINITY	171/4829	-171/4829	FINITE	-1/1	-1/2	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr+0.00	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	0/1	INFINITY	2500/4829	-2500/4829	FINITE	0/1	0/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr+0.25	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	1/4	INFINITY	12329/19316	-12329/19316	FINITE	2/3	1/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr+0.50	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	1/2	INFINITY	7329/9658	-7329/9658	FINITE	2/1	1/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr+0.75	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	3/4	INFINITY	16987/19316	-16987/19316	FINITE	6/1	3/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E1_n1.035411058190_qr+0.95	R1_AND_R2_NONZERO_MIXING_WALL	5000/4829	19/20	INFINITY	94251/96580	-94251/96580	FINITE	38/1	19/1	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
E0_n1.055966209081	R0_ROUND_P1	1000/947	-	ZERO	1000/947	-1000/947	INFINITE	DECAYS_TO_ZERO	ABSENT	LIMIT_POINT	UNIQUE_ENDPOINT_DOMAIN_DERIVED	NOT_FREE_ENDPOINT_DATA
E1_n1.055966209081_qr-2.00	R1_AND_R2_NONZERO_MIXING_WALL	1000/947	-2/1	INFINITY	-394/947	394/947	FINITE	-4/3	-2/3	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	REQUIRES_FREE_EXTENSION_CENSUS	ADMISSIBLE_CONTROL_MEMBERS_NOT_SELECTED__FULL_EXTENSION_FAMILY_OPEN
