candidate_id	family	inv_n	n_exact	q_ratio	q_exact	represented_h_magnitudes	represented_h_values	B_center	B_wall	mixing_center_status	complete_metric_center_status	ricci_r_times_limit	wall_liouville_length	wall_domain_status	boundary_ownership	profile_provenance	execution_disposition
R0_n1.035411058190	R0_ROUND_P1	0.9658	5000/4829	-	-	1	0	ZERO	ZERO	PASS_H_ZERO	FAIL_A_LINEAR_TERM	30000/4829	INFINITE	UNIQUE_LIMIT_POINT_CONTINUUM_CONTROL	NO_FREE_D_OR_N_WALL_DATUM	P1_DATA_CONDITIONED_CHOSE_NOT_NATIVE	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr-2.00	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	-2/1	-4658/4829	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr-2.00	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	-2/1	-4658/4829	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr-1.00	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	-1/1	-2329/4829	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr-1.00	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	-1/1	-2329/4829	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr+0.00	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	0/1	0/1	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr+0.00	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	0/1	0/1	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr+0.25	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	1/4	2329/19316	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
R2_n1.035411058190_qr+0.25	R2_RA1_LITERAL_LINEAGE	0.9658	5000/4829	1/4	2329/19316	1	SYMBOLIC_NONZERO_H0_LINEAGE	INFINITY	INFINITY	FAIL_H_ORDER_R0_ON_COLLAPSING_AXIAL_ORBIT	FAIL_A_LINEAR_TERM	NOT_APPLICABLE_STRONGER_COFRAME_SINGULARITY	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	RA1_LINEAGE_CONTROL_NOT_COMPLETE_C1_CENTER	BLOCKED_C1_CENTER_REGULARITY
R1_n1.035411058190_qr+0.50	R1_CENTER_REGULAR_MIXING_P1	0.9658	5000/4829	1/2	2329/9658	10	0.001;0.002;0.005;0.01;0.02;0.05;0.1;0.2;0.5;1	ZERO	INFINITY	PASS_NECESSARY_H_ORDER_R2_ONLY__FULL_SMOOTHNESS_NOT_CLAIMED	FAIL_A_LINEAR_TERM	30000/4829	FINITE	LIMIT_CIRCLE_SUB_INVERSE_SQUARE	FREE_SELF_ADJOINT_EXTENSION_FAMILY_REQUIRED	FD1_BANKED_FREE_EXPLORED_CONDITIONAL_FAMILY	BLOCKED_C1_CENTER_REGULARITY
