object	status	scope	remaining_open
P1_SNe_observer_relation	UNCHANGED	declared_relational_and_equatorial_role	join_to_complete_spherical_metric
P1_as_complete_C1_C2_profile	BLOCKED_C1_CENTER_REGULARITY	A_equals_1_minus_r_power_n_with_registered_n	regular_complete_profile_and_role_join
C1_center_curvature_residue	DERIVED_CONDITIONAL	A_equals_1_plus_a_r_plus_and_h_equals_O_r2	full_higher_order_smoothness
corrected_h_center_order	NECESSARY_ORDER_PASSES	h_equals_hbar_r2_times_1_minus_r_power_q	full_Cartesian_smoothness_not_claimed
RA1_literal_h_center_order	FAILS_COMPLETE_C1_CENTER	h_equals_h0_times_1_minus_r_power_q	lineage_only
nonzero_mixing_B_wall	DERIVED_ON_FROZEN_GRID	all_21_n_q_strata_B_to_infinity	other_profile_families
nonzero_mixing_wall_domain	DERIVED_FINITE_BLOCK_LIMIT_CIRCLE	all_21_strata_finite_harmonic_truncation	uniform_infinite_basis_domain
D_N_nonzero_wall	CHOSE_CONTROL_MEMBERS_NOT_SELECTED	separated_finite_block_extensions	complete_extension_family_and_physical_boundary
round_P1_wall_domain	DERIVED_LIMIT_POINT_CONTINUUM_CONTROL	h_zero_registered_n_greater_than_1	other_round_profiles
N01_local_angular_architecture	UNCHANGED	regular_interior_r_greater_than_zero	global_radial_profile_and_boundary
N02_eigensolve	OPEN_NOT_AUTHORIZED	no_admissible_banked_complete_anchor	regular_profile_role_join_and_new_preregistration
FD2_GPU_population_polarization	OPEN_NOT_AUTHORIZED	outside_N02	native_probe_source_state_and_physical_screen
