id	claim	status	scope_or_caveat
S01	CORRECTED_FD1_ROOT_ATLAS_REMAINS_VALID	OBSERVED	C0_STATIONARY_EQUATORIAL_SCALAR_SLICE_ONLY
S02	C1_AXIS_REGULAR_ROUND_SCREEN_LIFT	CHOSE	NAMED_RA1_INHERITANCE_NOT_SELECTED_COMPLETE_UDT_METRIC
S03	C1_FULL_SCALAR_OPERATOR_AND_INVERSE	DERIVED	EXACT_ON_C1_SCALAR_PROBE
S04	C0_AND_C1_OPERATOR_RELATION	DERIVED	C1_EQUATOR_HAS_EXTRA_r_VOLUME_FACTOR__C0_ROOTS_DO_NOT_LIFT
S05	C1_MODE_OWNERSHIP	DERIVED_CONDITIONAL	U1_m_PLUS_NORTH_SOUTH_PARITY__R_THETA_COUPLED
S06	C2_ROUND_LIMIT_MULTIPLETS	DERIVED_LIMIT	FIXED_ell_DEFINES_SO3_MULTIPLET__NOT_EQUAL_INDEX_C0
S07	UNIVERSAL_m_OVER_COMPLETE_SCREEN_ARENA	REFUTED_BY_COUNTEREXAMPLE	ADMITTED_GENERAL_SCREEN_NEED_NOT_HAVE_AXIAL_U1
S08	METRIC_ONLY_PHYSICAL_MODE_POPULATION_PROJECTOR	OPEN	SYMMETRY_DECOMPOSITION_IS_NOT_STATE_OR_SOURCE_WEIGHTING
S09	FD1_OPEN_COMPATIBILITY_WINDOW	WITHDRAWN	CONTROLLING_CORRECTED_ATLAS_UNCHANGED_AND_FULL_ANGULAR_AUDIT_STRENGTHENS_CAUTION
S10	FD2_RESTART	OPEN_NOT_AUTHORIZED	NO_PHYSICAL_COMPLETE_LIFT_OR_POPULATION_RULE
S11	CMB_PREDICTION	NOT_CLAIMED	NO_OBSERVATIONAL_DATA_USED
