id	object	status	regime	evidence	remaining_open
S01	h0_and_A0_under_CSN	DERIVED_EXACT	SMOOTH_NONNULL_DPHI	h0bar_equals_h0_and_A0bar_equals_A0_minus_dlogOmega	physical_authority
S02	Gamma_f_under_CSN	DERIVED_EXACT	ALL_SMOOTH_F_IN_DECLARED_FAMILY	h_f_is_itself_CSN_invariant	no_function_f_selected
S03	strict_reversal_condition_on_f	DERIVED_EXACT	DECLARED_Gamma_f_FAMILY	fprime_minus_phi_equals_minus_fprime_phi	family_action_vs_physical_invariance
S04	even_f_reversal_counterfamily	DERIVED_EXACT_COUNTERFAMILY	SMOOTH_NONNULL_DPHI	f_equals_lambda_phi_squared_plus_mu_phi_fourth	infinite_higher_even_family
S05	static_seal_selects_bulk_f	REFUTED	STATIC_PHI_ZERO_SEAL	even_f_has_fprime_zero_at_seal_but_nonzero_bulk_connection	no_bulk_transport_boundary_law
S06	local_phi_shift_gauge	NOT_DERIVED	CURRENT_SOURCE_AUTHORITY	ontology_conflicts_C02_C03	possible_future_reference_theorem
S07	local_shift_invariance_condition	DERIVED_CONDITIONAL	DECLARED_Gamma_f_FAMILY	fprime_phi_plus_a_equals_fprime_phi_for_all_a_implies_affine_f	physical_authority_for_shift
S08	f_as_regular_additive_character	DERIVED_CONDITIONAL	IF_EXTRA_COMMON_FACTOR_IS_A_CHARACTER	Cauchy_regular_polynomial_solution_is_affine	why_f_must_be_a_character
S09	local_shift_plus_strict_reversal	UNIQUE_CONDITIONAL	DECLARED_Gamma_f_FAMILY	affine_f_intersect_even_f_is_constant	both_extra_rules_and_independent_connection_data
S10	reciprocal_composition_selects_f	NOT_DERIVED	CURRENT_SOURCE_AUTHORITY	composition_controls_comparison_character_not_arbitrary_h_f_factor	native_naturality_law
S11	derivative_only_A_lambda_family	DERIVED_COUNTERFAMILY	SMOOTH_NONNULL_DPHI	A_lambda_equals_A0_plus_lambda_dphi	lambda_not_supplied
S12	strict_orientation_blindness_selects_lambda_zero	UNIQUE_CONDITIONAL	DERIVATIVE_ONLY_FAMILY	reversal_maps_lambda_to_minus_lambda	orientation_blindness_authority
S13	dphi_orientation_blindness	NOT_DERIVED	CURRENT_SOURCE_AUTHORITY	phi_is_signed_and_reciprocal_roles_are_ordered	complete_reversal_action
S14	projector_only_determines_A0	REFUTED	SMOOTH_NONNULL_DPHI	Fprime_equals_exp_kappa_phi_preserves_projector_but_shifts_A0_by_kappa_dphi	phi_group_normalization_data
S15	A0_under_linear_group_coordinate_rescaling	DERIVED_EXACT	CONSTANT_NONZERO_SCALE	A0_shift_is_dlog_abs_a_equals_zero	full_physical_reparameterization_rule
S16	torsion_free_or_zero_stabilizer_selected	NOT_DERIVED	CURRENT_SOURCE_AUTHORITY	parent_split_connection_family_and_cold_packet	native_connection_class
S17	bootstrap_or_static_seal_local_connection_operator	NOT_PRESENT_IN_CURRENT_FOUNDATION	CURRENT_SOURCE_AUTHORITY	ontology_O16_O17_and_cold_packet_global_scope	future_typed_operator
S18	physical_affine_connection_selector	OPEN_SELECTOR	ALL_CURRENTLY_REGISTERED_DATA	even_f_and_A_lambda_counterfamilies_survive	typed_transport_naturality_law
S19	null_and_zero_dphi_transport	OPEN	OUTSIDE_SMOOTH_NONNULL_DOMAIN	parent_obstruction_and_absent_intrinsic_line	interface_law
S20	action_carrier_Hopfion_source_boundary_charge_time_evolution	OPEN_NOT_ACTIVATED	OUTSIDE_AUDIT	no_downstream_operator_or_carrier_used	separate_bounded_work
