case_id	input_data	transformation	current_authority	tested_requirement	preregistered_status
N01	full_phi_g	g_to_Omega2g	FOUNDING_CSN	Gamma_formula_invariant	REQUIRED
N02	full_phi_g	phi_to_minus_phi	RECIPROCAL_REVERSAL	formula_covariance	REQUIRED
N03	full_phi_g	phi_to_minus_phi	OPEN_CONNECTION_ACTION	strict_Gamma_invariance	EXPLORED_NOT_ASSUMED
N04	full_phi_g	static_phi_zero_seal	CANONIZED_STATIC_SCOPE	bulk_family_selected	TEST_REQUIRED
N05	local_phi_field	phi_to_phi_plus_a	OPEN_NOT_DERIVED	local_shift_invariance	CONDITIONAL_ONLY
N06	dphi_g	dphi_to_minus_dphi	OPEN_ORIENTATION_ACTION	strict_orientation_blindness	CONDITIONAL_ONLY
N07	projector_only	dphi_to_Fprime_dphi	EXACT_SAME_PROJECTOR	A0_unique_from_projector	TEST_REQUIRED
N08	reciprocal_group	phi_to_a_phi	CHOSE_GROUP_COORDINATE_CONVENTION	Gamma_coordinate_naturality	TEST_REQUIRED
N09	split_projector	connection_plus_stabilizer	OPEN_CONNECTION_FIELD_CENSUS	zero_addition_selected	TEST_REQUIRED
N10	static_finite_cell	bootstrap_and_seal	WORKING_GLOBAL_PLUS_STATIC	local_connection_equation_exists	SOURCE_AUDIT_REQUIRED
