question	current_ruling	exact_source	implication_for_selector
Does CSN preserve the conformal class while leaving phi neutral?	YES_FOUNDING	UDT_NATIVE_ACTION_COLD_PACKET.md secs 1.3 and 2	Every h_f construction is CSN invariant; CSN alone does not select f
Does reciprocal composition make relative group depth additive?	YES_POSIT_DERIVATION_INPUT	UDT_NATIVE_ACTION_COLD_PACKET.md secs 1.1 and 2	The one-parameter comparison character is exponential
Does that composition derive local phi(x)->phi(x)+a gauge symmetry?	NO_OPEN_NOT_DERIVED	udt_phi_metric_ontology_audit_2026-07-22/SEMANTIC_CONFLICT_LEDGER.tsv C02-C03	Local-shift invariance may be used only conditionally
Does reciprocal reversal act as S(-phi)=S(phi)^-1?	YES_GROUP_RELATION	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md sec 4.2	The comparison group has inversion
Is strict invariance of a bulk affine connection under that reversal derived?	NO	udt_phi_metric_ontology_audit_2026-07-22/PHI_ONTOLOGY_LEDGER.tsv O05; parent STATUS S21	Must distinguish covariance of a family from physical invariance
Does the static seal impose phi=0 with normal derivative free?	YES_STATIC_SCOPE	UDT_NATIVE_ACTION_COLD_PACKET.md sec 3	Exact boundary value test is authorized
Does the seal select a bulk phi equation or connection?	NO	udt_phi_metric_ontology_audit_2026-07-22/PHI_ONTOLOGY_LEDGER.tsv O16	Matching at phi=0 cannot select the bulk family
Does bootstrap provide a local phi-metric or connection operator?	NO_NOT_PRESENT	udt_phi_metric_ontology_audit_2026-07-22/PHI_ONTOLOGY_LEDGER.tsv O17; UDT_NATIVE_ACTION_COLD_PACKET.md sec 6	Global admissibility is not a local selector
Is torsion freedom a registered UDT transport law?	NO	UDT_NATIVE_ACTION_COLD_PACKET.md sec 2; parent STATUS S09-S14	It defines a conditional class only
Is zero projected-connection stabilizer addition a registered minimality law?	NO	parent STATUS S14 and S21	Setting the free addition to zero is a choice absent further law
Does the projector alone retain phi normalization?	NO_MATHEMATICAL_TEST	preregistered exact reparameterization test	A same-projector reparameterization can change A0
