item	status	role
G340_metric_null_frequency	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	fixed null generator and normal-observer frequency baseline
G343_quotient_screen_propagator	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	intrinsic bilocal position block affine and screen typing
G345_observer_calibrated_scalar	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	changed-observer scalar and geometric-mean target
G346_directional_angular_area_pair	EXTERNALLY_ACCEPTED_DERIVED_CONDITIONAL_BOUNDED	normal-observer baseline transformed in this gate
provisional_vacuum_equation	OWNER_ADOPTED_PROVISIONAL_POSTULATES_NOT_CANON	conditional supplied spacetime arena only
spacetime_and_endpoint_events	SUPPLIED_CONDITIONAL_BOUNDED	unchanged exact Taub/Kasner metric and endpoints
fixed_labelled_future_null_ray	SUPPLIED	no ray or compact lift selected
normal_observers	SUPPLIED_REFERENCE	baseline only; no preferred congruence
replacement_endpoint_observers	FREE_AND_EXPLORED_QUERY_DATA	all independent future unit timelike observers short of null
observer_boost_chart	CHOSE_EXHAUSTIVE_PARAMETERIZATION	unique finite three-velocity relative to each normal observer
boost_sign_and_direction	FREE_AND_EXPLORED_QUERY_DATA	longitudinal transverse and oblique components
null_observer_boundary	DERIVED_DOMAIN_BOUNDARY	not a unit timelike observer; limiting behavior classified
metric_quotient_screen	PINNED_BY_THEORY_FOR_THIS_SPACETIME	positive metric on k-perp modulo k
observer_screen_representative	DERIVED_CANDIDATE	orthogonal representative tested for canonical isometry
celestial_sky_tangent	CHOSE_QUERY_CALIBRATION	fixed observer-frequency representative of projective null variation
common_affine_scale	FREE_AND_EXPLORED_GAUGE	all positive rescalings
endpoint_GL2_coordinates	FREE_AND_EXPLORED_GAUGE	arbitrary well-conditioned passive changes
projective_direction	FREE_AND_EXPLORED_QUERY_DATA	all mixed and both principal directions
positive_endpoint_times	FREE_AND_EXPLORED_QUERY_DATA	all sampled regular noncoincident orders
stationary_composition	DERIVED_CONDITIONAL_BOUNDED	G344/G346 join retained and observer transformed
compact_translation_lattice	SUPPLIED_CONDITIONAL	all lift labels retained separately
infinitesimal_beam	CHOSE_BOUNDED_REGIME	Jacobi derivative only; no finite-beam claim
numeric_linear_algebra_and_quadrature	CATEGORY_A_METHOD	certification only
textbook_aberration_or_optical_reciprocity	OMITTED_NOT_USED	may be comparison language only after native derivation
finite_beam_light_transfer_or_detector	OMITTED	no emission absorption intensity or detection
brightness_flux_luminosity_probability_or_distance	OMITTED	no physical transfer or distance selection
preferred_observer_protocol_route_or_population	OPEN	no selection weighting or sum
generic_spacetime_global_persistence_or_stability	OPEN	one supplied exact metric/ray family only
matter_mass_scale_Xmax	OPEN	no attachment or selection
canon	OPEN	Charles alone canonizes
