catch	result
local_c_anchor_mutation_rejected	PASS
curvature_motif_mutation_rejected	PASS
kretschmann_mutation_rejected	PASS
regular_center_mutation_rejected	PASS
inner_F_regularization_rejected	PASS
inner_X_regularization_rejected	PASS
endpoint_jet_loss_rejected	PASS
dimensional_null_mutation_rejected	PASS
missing_ledger_row_rejected	PASS
duplicate_ledger_row_rejected	PASS
F_selection_promotion_rejected	PASS
inner_regular_promotion_rejected	PASS
source_hash_mutation_rejected	PASS
production_false_check_rejected	PASS
maximum_conclusion_inflation_rejected	PASS
wrong_prereg_base_rejected	PASS
instant_access_promotion_rejected	PASS
nonspherical_exclusion_rejected	PASS
