id	object	status	exact_scope_or_premises	not_claimed
S01	finite Einsteinian c_E in metric	OWNER_LOCKED_OBSERVATIONAL_ANCHOR	ordinary terrestrial/solar clock-length calibration	foundational carrier or absolute scale
S02	local-frame null-component clock-length ratio c_E	DERIVED_CONDITIONAL	positive-X spherical areal representative; stationary reference clock component; null-curve proper time is zero	material signal speed
S03	remote/stationary clock factor F sqrt(X)	DERIVED_CONDITIONAL	specified areal stationary congruence	universal material clock
S04	coordinate radial null slope c_E F X	DERIVED_CONDITIONAL	specified t and R chart	locally varying fundamental c
S05	co-present no-foundational-carrier reading	WORKING_OWNER_INTERPRETATION	whole-solution ontology with metric causal relations retained	instantaneous information access
S06	F selected by pair Reciprocity	REFUTED_AS_CURRENT_IMPLICATION	pair fixes reciprocal X modulation; determinant selector is coordinate dependent	future premise cannot select F
S07	radial F threading geometry	DERIVED_CONDITIONAL	partial_R log F invariant under time-only relabeling and changes curvature	complete physical interpretation
S08	F selected by current CSN	NOT_DERIVED	pre-scale common calibration	post-scale representative
S09	F selected by finite-cell/seal endpoints	REFUTED_IN_BOUNDED_ENDPOINT_CLASS	positive endpoint-flat second-jet counterfamily	all future boundary functionals
S10	F selected by registered bootstrap	OPEN_NOT_SUPPLIED	current on-shell admissibility wording	bootstrap can never select it
S11	absolute scale from c_E and G_obs	REFUTED_BY_DIMENSION_COUNT	no independent dimensional datum	future mass or scale-breaking closure
S12	physical regime map	OPEN	ordinary calibration only; X_max/micro placement unresolved	R equals physical separation universally
S13	outer clock/slope freeze	DERIVED_CONDITIONAL_ASYMPTOTIC_CLASS	X~delta^p F~delta^q with p>0 q>-p/2	selected cosmological solution
S14	WR-L outer freeze	DERIVED_CONDITIONAL_CONTROL	static F=1 X=1-R/X_max	universal UDT boundary
S15	inner infinity at regular spherical center	REFUTED_IN_BOUNDED_CURVATURE_CLASS	radial X or F divergence makes K diverge	all nonspherical or singular branches
S16	inner infinity in noncentral/nonspherical geometry	OPEN	not covered by areal-center theorem	existence
S17	subnuclear zero identified with areal R zero	NOT_DERIVED	no scale or geometry map	identification is false in every completion
S18	action source carrier boundary mass	UNCHANGED_OPEN_OR_CONDITIONAL	outside audit	closure
S19	audit grade	VERIFIED_WITH_CAVEATS	exact production independent rational verification source audit and repository gates; no fresh external-model semantic review	canon or complete time-live law
