item	status	role_or_guard
Universal Reciprocity or DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G310	not derived or canonized
quiet GR principal-response overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded response premise
Local Metric Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE__G312	bounded local finite-jet premise
trace-free Ricci equation	ACTIVE_BOUNDED_CONDITIONAL_EQUATION	registered local metric-only vacuum arena
Bianchi completion	DERIVED_GEOMETRIC_IDENTITY	gives Ric=Lambda g with connected constant Lambda
standard harmonic local well-posedness	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	not a UDT law or global theorem
G315 spacelike data interface	DERIVED_CONDITIONAL	constraints and ADM presentation
G319 regular reconstruction	EXTERNALLY_ACCEPTED_BOUNDED	supplies lawful smooth constraint data
G320 quotient theorem	EXTERNALLY_ACCEPTED_BOUNDED	supplies inequivalent physical initial geometries
flat marked T3	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	not selected physical topology
psi_n=3/2+(1/5)cos(nx)	FREE_AND_EXPLORED_CONTROL_FAMILY	no fitted profile or preferred wavelength
n=1,2,3,4	FREE_AND_EXPLORED_FINITE_REPLAY	analytic family remains countable
d=0 Lambda=0 J0=100	CHOSE_CATEGORY_A_DIAGNOSTIC_CONTROLS	no physical selection or calibration
epsilon plus/minus	FREE_AND_EXPLORED_BRANCHES	both initial-rate orientations retained
unit lapse and zero shift	CHOSE_GAUGE_PRESENTATION_CONTROL	not physical data or UDT selection
spatial and spacetime diffeomorphisms	QUOTIENT_REPRESENTATION_FREEDOM	coordinate copies are one geometry
data-preserving marked isometry	PHYSICAL_EQUIVALENCE_FOR_THIS_TILE	must commute with initial embedding
unmarked common-spacetime realization	OPEN_NOT_CLASSIFIED	different slices of one larger spacetime not excluded
physical data or history selection	OPEN_NOT_SELECTED	admissibility and uniqueness are not occupancy
global existence stability singularities	OMITTED_OPEN	local theorem only
source matter mass observation fit scale Xmax	OMITTED_OPEN	no import or calibration
metric reciprocal kernel angular interface	UNCHANGED	no construction change in G321
