object	status	maximum_statement
G321 preregistration	BANKED_BEFORE_OUTCOMES__863A1E9E	bounded test contract only
G320 finite controls	INTERNALLY_RECONSTRUCTED_LAWFUL	all modes and signs lie in Lambda zero sector
raw tracefree principal operator	DERIVED_RANK_NINE	not the complete fixed-sector evolution system
Bianchi-completed fixed sector	DERIVED_RANK_TEN	full local metric-wave principal part
ADM initial right-hand side	DERIVED_SINGLE_VALUED_IN_CHOSEN_GAUGE	interface check not PDE proof
standard local wellposedness	IMPORTED_MATHEMATICAL_METHOD__CONDITIONAL	local existence and uniqueness up to diffeomorphism
G320 local marked developments	EXTERNALLY_ACCEPTED__CONDITIONAL_LOCAL_MARKED_UNIQUENESS	each fixed datum has one local marked development
opposite K signs	DERIVED_TIME_REVERSED_DATA	not two futures from one datum
different integer modes	DERIVED_DISTINCT_MARKED_DEVELOPMENTS	Q_R forbids data-preserving equivalence
unmarked same-spacetime relation	OPEN	different-slice realization not classified
physical data occupancy	OPEN_NOT_SELECTED	uniqueness is not selection
global history existence stability	OPEN	local tile only
metric kernel angular observations	UNCHANGED	no interface modification
source matter mass scale Xmax	OPEN_OMITTED	no import or selection
fresh external adversarial review	REPAIRABLE_DEFECTS__BOUNDED_LANDING_RETAINED	all payloads authenticated and registered outputs reproduced exactly
hostile mutation layer	REPAIRED_INTERNALLY	12 actual ephemeral-package mutations rejected for registered reasons
theorem hypothesis audit	REPAIRED_INTERNALLY	eight typed evidence entries; imported PDE theorem not machine-proved
repair-only external followup	ACCEPTED__R1_R2_COMPLETE	bounded scientific landing unchanged
