source	object_used	sign_semantics	alias_found	grade	evidence_path	evidence_marker
founding.md	phi(r); delta_AB; terminal Phi_pair	explicitly distinct; equality only in matched calibrated primary radial reduction	NO	PASS	founding.md	Keep three types and three symbols distinct
G201	pointwise phi and its first two radial jets	both signed profile extremes; not pair reversal	NO	PASS	udt_g201_primary_metric_phi_jet_regime_amplitude_2026-08-21/AUDIT_REPORT.md	The founded reciprocal block has a two-sided algebraic magnitude
G202	pointwise sign-crossing profile	negative and positive sides of one supplied radial history	NO	PASS	udt_g202_quiet_overlap_profile_anchor_classification_2026-08-21/AUDIT_REPORT.md	two-sided reciprocal growth
G203	profile descriptors and reciprocal reversal	explicitly says observer reversal does not force radial score odd	NO	PASS	udt_g203_quiet_overlap_parameter_ownership_classification_2026-08-21/AUDIT_REPORT.md	Reciprocal observer reversal also does not force the radial score to be globally odd
G204	inner negative trough and outer positive profile	one supplied smooth-center profile; not arrow orientation	NO	PASS	udt_g204_primary_metric_global_regularity_asymptotic_profile_2026-08-21/AUDIT_REPORT.md	a genuine negative inner regime cannot run monotonically into the center
G263	R_pair and C_phi	exact controlling theorem distinguishes them	NO	PASS	udt_g263_pair_reversal_profile_sign_parity_2026-08-25/AUDIT_REPORT.md	reverses `delta` while leaving the ambient metric fixed
G264	negative pointwise profile	profile sign alone nonselective; no endpoint-reversal use	NO	PASS	udt_g264_negative_phi_native_selectivity_classification_2026-08-25/AUDIT_REPORT.md	Negative `phi` is not automatically more selective
G265	directed exp(plus/minus delta) and even cosh(delta)	arrow orientation separated from mutual channel	NO	PASS	udt_g265_infinite_bare_c_mutual_pair_null_closure_2026-08-26/AUDIT_REPORT.md	A candidate mutual clock rate is `sech(delta)`
G266	Gamma=cosh(delta); Xi=sinh(delta)	even magnitude plus odd arrow companion	NO	PASS	udt_g266_covariant_mutual_pair_even_channel_ownership_2026-08-26/AUDIT_REPORT.md	completed reciprocal kernel canonically gives `Gamma=cosh(delta)` and its signed companion
G267	M=sech(delta); chi=tanh(delta)	symmetric arrow-depth magnitude; signed one-way arrow retained	NO	PASS_WITH_INTERPRETIVE_GUARD	udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/AUDIT_REPORT.md	The signed one-way clock/frequency arrow remains first order and is not replaced
G268	finite signed relation state	reversal/composition presentation only; no regime claim	NO	PASS	udt_g268_sech_relation_space_equivalence_and_operational_constraint_2026-08-26/AUDIT_REPORT.md	No admitted finite relation or network is removed
G269	transported-screen mutual clock	full supplied pair relation; no profile-regime assignment	NO	PASS	CURRENT_SCIENTIFIC_PREMISES.tsv	G269 null_transport_mutual_clock_screen_interlock
G270	transported-screen ownership	ambient realization versus intrinsic normalization; no sign alias	NO	PASS	CURRENT_SCIENTIFIC_PREMISES.tsv	G270 completed_pair_transported_screen_ownership
G271	profile gradient projected onto directed null germ	local matched join; does not equate arrow sign with profile regime	NO	PASS	udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	longitudinal and transverse projections of one primary-metric gradient
G272	chi=tanh(delta)=tanh(phi_B-phi_A)	exact oriented planar endpoint-potential stratum	NO	PASS_WITH_REFERENCE_QUALIFICATION	udt_g272_complete_relation_rapidity_distance_ownership_2026-08-26/AUDIT_REPORT.md	is an exact oriented planar stratum
G273	projective pair coordinate	orientation explicitly retained	NO	PASS	udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	unique oriented, endpoint-normalized, scale-free linear-fractional projective contrast
G274	path-labelled frame morphism	ordered-arrow composition and reversal; ambient history unchanged	NO	PASS	udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	The radial collinear stratum remains exactly closed
G275	projective position and homothety	orientation retained; scale separate	NO	PASS	udt_g275_projective_position_scale_attachment_xmax_separation_2026-08-26/AUDIT_REPORT.md	It retains active screen components
G276	proper-clock scale attachment	scale only; no sign alias	NO	PASS	udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/AUDIT_REPORT.md	scale-invariant increment ratios, and metric self-evaluation do not fix
G285	longitudinal scalar versus complete separation	no profile/arrow sign identification	NO	PASS	udt_g285_complete_separation_germ_retyping_audit_2026-08-27/AUDIT_REPORT.md	Equal `phi`, redshift, or W5 state does not mean equal complete separation
G286	complete metric propagation discriminator	metric-native; sign typing not load-bearing	NO	PASS	udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	It does not yet own how that state continues
current authority surface	phi_pair=delta_AB on supplied ordered depth	never states pointwise phi(r)=arrow depth universally	NO	PASS	CURRENT_SCIENTIFIC_PREMISES.tsv	G263 pair_reversal_profile_sign_parity
