object	status	active_use	open_scope	forbidden_promotion
primary phi(r)	CONDITIONAL_PRESENTATION_POTENTIAL	signed value in one supplied primary metric	history profile and physical scale assignment	pair-arrow sign or selected micro/macro law
delta_AB	DERIVED_ON_SUPPLIED_ORDERED_DEPTH__VALUE_SUPPLIED	directed additive comparison coordinate	event query and depth assignment	ordinary unsigned distance or regime label
terminal Phi_pair	DERIVED_CONDITIONAL	scalar readout on one supplied completed pair	physical relation population	universal identity with pointwise phi(r)
R_pair	DERIVED_CONDITIONAL	endpoint reversal at fixed ambient metric	global query ownership	whole-profile sign conjugation
C_phi	DIAGNOSTIC_NOT_PHYSICAL_SYMMETRY	map between supplied profile metrics	physical ownership	observer reversal
quiet profile crossing	DERIVED_CONDITIONAL_G202	phi=phi_s=phi_ss=0 on a supplied profile	order location steepness and history	selected crossover law
negative-profile micro / positive-profile cosmology	USER_SUPPLIED_INTENDED_INTERPRETATION_UNDER_AUDIT	physical motivation only	invariant operational scale attachment and complete history	derived merely from sign notation
W5 projective pair state	WORKING_FOUNDATIONAL_CLARIFICATION	complete normalized pair position on supplied relation	dimensional distance scale history X_max	pointwise profile or proper distance
mass emergence	OPEN	no active use	native law source normalization solution	inferred from negative phi alone
G286 propagation gap	EXTERNALLY_ACCEPTED_BOUNDED	current identities are not unique propagation	native value-bearing principle	closed by sign retyping alone
