item	status	note
Profile sign versus pair-arrow sign	DERIVED_TYPE_DISTINCT	G263 controlling theorem retained
Pair reversal	DERIVED_CONDITIONAL	Ambient metric and pointwise profile fixed
Whole-profile sign conjugation	DIAGNOSTIC_NOT_PHYSICAL_SYMMETRY	Generally changes metric and angular channels
Negative-profile micro interpretation	USER_SUPPLIED_INTENT_NOT_PROMOTED	Compatible with typing; operational/history law open
G267 symmetric loud ends	RETAINED_WITH_INTERPRETIVE_GUARD	Even ordered-depth magnitude, not automatically micro/cosmological
G201--G204 profile regimes	RETAINED	Signed profile geometry available; history unselected
Native kernel	NO_REGRESSION	No formula repair required
G286 propagation gap	UNCHANGED	Sign typing is not a propagation law
External adversarial review	ACCEPT_WITH_REPAIRS	Scientific landing retained; three evidence repairs requested
Evidence repairs R1--R3	IMPLEMENTED	Executable mutations, all-command replay, 22-row source certification
Repair-only follow-up	OPEN	Corrected sealed intake not yet transmitted
