id	object	status	exact_scope	what_is_not_claimed
S01	Frozen primary universe	VERIFIED	30 unique families B01-B25 and B27-B31	Not every imaginable future UDT completion
S02	Pre-July B26 family	PROVENANCE_BLOCKED	Negative and counterexample use only	No affirmative UDT response physics
S03	Complete response survivor	ABSENT_IN_FROZEN_30_FAMILY_UNIVERSE	All six gates in one coherent family	Not a universal no-go theorem
S04	Conditional off-shell local responses	VERIFIED_CONDITIONAL	B02 B08 B09 B10 B19 B20 B22	Not native selection or complete closure
S05	Bach trace-free angular response	PASS_CONDITIONAL_LANE	B19 four-dimensional conditional C2 variation	Not a native action or full response
S06	Complete varied domain	OPEN	Zero of 30 passes G1	No field or variation domain selected
S07	Native same-solution mass-volume-density response	OPEN	Zero of 30 passes G4	Supplied carrier energy is not native mass closure
S08	Differentiable finite-cell boundary/global response	OPEN	Zero of 30 passes G5	Gluing caps and flux candidates are not a completed variation
S09	Native provenance of an actual response	OPEN	Seven actual responses are conditional; 23 no-response rows are out of scope	Native geometry provenance alone is not response provenance
S10	Bootstrap-to-local response map	OPEN_NEXT_OBJECT	Required join from global closure to local trace-free and mass response	Not derived by this audit
S11	Action reconstruction	NOT_YET_TESTABLE	Requires the missing off-shell response first	C2 EH and carrier actions are not selected
S12	Overall conclusion	NO_COMPLETE_RESPONSE_IN_FROZEN_30_FAMILY_UNIVERSE	Bounded source-availability ruling	No density sweep action guess carrier adoption GPU or canonization

