candidate_id	family_label	G1_complete_variation_domain	G2_off_shell_local_response	G3_tracefree_angular_response	G4_same_solution_mass_volume_density	G5_finite_cell_boundary_global_variation	G6_native_provenance	disposition	load_bearing_evidence	ruling
B01	Exact_C0_C1_foundation	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	NO_RESPONSE_ROLE	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:2-11	Founded reciprocal kinematics supplies no varied response interface, so response provenance is not applicable.
B02	Final_native_action_adjudication	ABSENT	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	native_action_final_adjudication_2026-07-18/FINAL_ADJUDICATION_REPORT.md:20-33;129-153	The adjudication contains conditional Bach EH and supplied-carrier variations, while the complete domain native mass finite-cell boundary and native selection remain absent.
B03	P01_canonical_geometry_evaluator	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_canonical_geometry_evaluator_p01_2026-07-21/STATUS_LEDGER.tsv:13-16	The local evaluator is kinematic and leaves action boundary and solution space open.
B04	P02_local_jet_atlas	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_local_jet_atlas_p02_2026-07-21/STATUS_LEDGER.tsv:16-17	Point-local jets contain neither an action nor a global varied solution.
B05	P03_founded_constraint_atlas	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_founded_constraint_atlas_p03_2026-07-21/AUDIT_REPORT.md:19-24;77-80	The founded constraints do not supply dynamics or a bootstrap response predicate.
B06	P03G_global_kinematic_assembly	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	GEOMETRY_ONLY	udt_global_kinematic_assembly_p03g_2026-07-21/AUDIT_REPORT.md:71-90;107-148	Global lift and cap witnesses are kinematic alternatives rather than varied universes.
B07	P04_dynamics_branch_ruling	ABSENT	ABSENT	ABSENT	ABSENT	ABSENT	OUT_OF_SCOPE	NO_RESPONSE_ROLE	udt_dynamics_branch_ruling_p04_2026-07-21/AUTHORITY_AND_STOP_LEDGER.tsv:2-9	This ruling identifies the missing dynamics bridge and does not instantiate it.
B08	P05_full_equation_variation	ABSENT	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	udt_full_equation_variation_p05_2026-07-21/AUDIT_REPORT.md:12-27;64-75	Exact off-shell metric bulk equations exist only after choosing the conditional C2 or EH lane; the complete field domain nonmetric same-solution mass and finite-cell boundary responses remain absent.
B09	Time_live_characteristic_flux	ABSENT	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	udt_time_live_characteristic_flux_audit_2026-07-21/STATUS_LEDGER.tsv:2-15	Conditional C2 or EH principal and flux structures exist but no complete field domain polarization boundary functional or same-solution mass exists.
B10	Free_global_seal_transversality	ABSENT	PASS	CONDITIONAL	ABSENT	ABSENT	CONDITIONAL	CONDITIONAL_IMPORTED_OR_POSITED	udt_free_global_seal_transversality_audit_2026-07-21/STATUS_LEDGER.tsv:2-17	Moving-domain response has a conditional form after an action and boundary functional are supplied; it does not supply the complete field domain or select the boundary functional.
