candidate_id	family_label	registry_source	registry_row	eligibility	selection_basis	base_commit
B01	Exact_C0_C1_foundation	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B01	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B02	Final_native_action_adjudication	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B02	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B03	P01_canonical_geometry_evaluator	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B03	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B04	P02_local_jet_atlas	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B04	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B05	P03_founded_constraint_atlas	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B05	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B06	P03G_global_kinematic_assembly	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B06	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B07	P04_dynamics_branch_ruling	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B07	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B08	P05_full_equation_variation	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B08	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B09	Time_live_characteristic_flux	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B09	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B10	Free_global_seal_transversality	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B10	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
B11	Finite_cell_completion_atlas	udt_bootstrap_clock_angular_closure_audit_2026-07-24/EQUATION_FAMILY_GATE_MATRIX.tsv	B11	PRIMARY	FROZEN_CURRENT_REGISTERED_FAMILY	b5edb0744ee9c94223ed0b0c090b82c3994341e8
