group	candidate_files	category	depth_grade	full_frame_grade	global_grade	joint_operation_grade	primary_evidence	basis	affirmative_joint_operation_found
ROOT::AGENTS.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	AGENTS.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::HANDOFF.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	HANDOFF.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::INDEX.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	INDEX.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::LIVE.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	LIVE.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::MEMORY.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	MEMORY.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::NEGATIVES_REGISTRY.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	NEGATIVES_REGISTRY.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	1	CONTROL_NAVIGATION_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	SUMMARY_OR_UNRELATED	NO_OPERATION	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	Navigation/current-status material and unrelated moved research artifacts do not introduce a typed joint construction.	NO
ROOT::negative_phi_native_geometry.md	1	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	negative_phi_native_geometry.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
ROOT::particle_spectrum_native_geometry.md	1	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	particle_spectrum_native_geometry.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
ROOT::r1_route_fork_native_derivation.md	1	HISTORICAL_OR_FIREWALLED	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NEGATIVE_OR_HISTORICAL_ONLY	NO_AFFIRMATIVE_OPERATION	r1_route_fork_native_derivation.md	Historical, superseded, or pre-July material cannot supply affirmative UDT physics and contains no active typed joint operation.	NO
