catch_id	false_promotion_or_bug	must_be_rejected_because
F01	base commit or tree mismatch	discovery universe must be immutable
F02	omit a tracked base path from snapshot count	complete tree census is preregistered
F03	read dirty worktree instead of base blob	unrelated user changes cannot influence evidence
F04	change a preregistered search bucket	candidate discovery cannot be retuned after outcomes
F05	generated audit record qualifies itself	generated records cannot create evidence
F06	qualify a group missing one semantic bucket	all five source roles are required
F07	combine unrelated root files into one group	root files are independent source groups
F08	combine unrelated archive or legacy directories	historical corpora cannot qualify each other
F09	omit evidence-named companion from qualified group	package-level proposition context must be retained
F10	accept source blob or SHA-256 mismatch	candidate bytes must match the fixed tree
F11	use pre-July material affirmatively	provenance firewall forbids affirmative UDT physics
F12	cross-splice unrelated packages	jointness requires one source lineage or explicit typed import
F13	call abstract ordered pair physical	observer event path domain must be defined
F14	choose arbitrary endpoint cocycle as metric-native	composition does not select f
F15	claim covariance selects lambda	equivariant family retains a real modulus
F16	assume block diagonal spectator screen	complete transverse and mixing response is open
F17	assume trace zero or isotropy	neither premise is active
F18	use c_E or G_obs to select dimensionless lift	anchors calibrate but do not choose representation data
F19	promote co-presence interpretation to equation	no registered mathematical map follows from wording alone
F20	promote bootstrap admissibility to joint selector	current bootstrap supplies no local operation
F21	demand trivial holonomy or path independence by fiat	consistency condition is not a derived selector
F22	call local chart law global	transition completion and descent remain separate gates
F23	invent cap seam quotient or causal interface	global join data require source
F24	cross-splice twist ruler and separate Killing-line witness	one coherent metric must pass all claimed gates
F25	infer realized equations from complete configurations	off-shell existence is not dynamics
F26	compress a two-joint partial result into three	all outputs must be independently graded
F27	claim uniqueness with residual lambda profile path or completion family	all moduli must be reported
F28	filter candidates by elegance or desired universe	provenance audit cannot judge merit
F29	launch P03B GPU dynamics density action or matter work	outside authorized scope
F30	claim complete UDT closure	maximum conclusion is joint-operation provenance
