path	group	buckets	bucket_count	qualifying_group
.claude/hooks/corral_trigger.py	.claude	B5_JOINT	1	NO
.claude/skills/completeness-map/SKILL.md	.claude	B4_GLOBAL;B5_JOINT	2	NO
.claude/skills/no-shortcuts/SKILL.md	.claude	B1_FOUNDING;B5_JOINT	2	NO
.claude/skills/solution-space-not-imposition/SKILL.md	.claude	B5_JOINT	1	NO
.claude/skills/solver-first/SKILL.md	.claude	B1_FOUNDING	1	NO
.claude/skills/verifier-before-record/SKILL.md	.claude	B5_JOINT	1	NO
AGENTS.md	ROOT::AGENTS.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES
ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	ROOT::ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
AUDIT.md	ROOT::AUDIT.md	B4_GLOBAL;B5_JOINT	2	NO
CANON.md	ROOT::CANON.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
CLAUDE.md	ROOT::CLAUDE.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
CODEX_STARTUP_REHEARSAL_2026-07-17.md	ROOT::CODEX_STARTUP_REHEARSAL_2026-07-17.md	B5_JOINT	1	NO
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	ROOT::CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_PREREG_2026-07-19.md	ROOT::CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_PREREG_2026-07-19.md	B5_JOINT	1	NO
COGNITIVE_CORRAL_TRIGGERS_SETUP.md	ROOT::COGNITIVE_CORRAL_TRIGGERS_SETUP.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
CROSS_MODEL_VERIFY.md	ROOT::CROSS_MODEL_VERIFY.md	B5_JOINT	1	NO
CURRENT_SCIENTIFIC_PREMISES.md	ROOT::CURRENT_SCIENTIFIC_PREMISES.md	B1_FOUNDING;B2_DEPTH;B4_GLOBAL;B5_JOINT	4	NO
CURRENT_SCIENTIFIC_PREMISES.tsv	ROOT::CURRENT_SCIENTIFIC_PREMISES.tsv	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO
F0_SYSTEMATIC_AUDIT_results.md	ROOT::F0_SYSTEMATIC_AUDIT_results.md	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO
