candidate_id	candidate	mathematical_form	strongest_layer	ruling	primary_source	source_blob	source_sha256	joint_operation	status
C01	founded_pair_character	reciprocal-c plus dual Reciprocity	PAIR	Exact inverse pair representation; physical comparison and extension remain open.	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	c77d47beee18489fcd9fe7b5ef2d1c31f8eeedbd	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	NO	PARTIAL_OR_CONDITIONAL
C02	arbitrary_endpoint_cocycle	delta_f(p,q)=f(q)-f(p)	DEPTH_FAMILY	Exact composition for every f proves composition alone does not select physical depth.	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md	e14a319244f346406b7f477849d44d476498c5ac	b2cb8ca000964e4a42a30f575ce3db7a2c7dfe0bedbbf45fff1e6f739ceb09e0	NO	PARTIAL_OR_CONDITIONAL
C03	affine_metric_response_query	seven-dimensional symmetric response bundle	LIFT_INFINITESIMAL	Tensorial first response is derived; finite lift and physical section are open.	udt_native_reciprocal_comparison_bundle_audit_2026-07-27/AUDIT_REPORT.md	5f7119340db080809b015a0e067a43512e11e73c	2d8fa2fe1838fc0175d352766ee11edfcbf8f770a81dfa0c539a4c064d17016c	NO	PARTIAL_OR_CONDITIONAL
C04	ordered_pair_projector_family	X_lambda and exp(delta X_lambda)	LIFT_FAMILY	Finite pair lift exists for every real lambda; pair, lambda, and global data are supplied.	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	96f7f0ac536475bbc00e705872173695ef957483	c7aeeb813bd276a1bf06dff67268a7799f4e2d710edf888789db7f6278cc0b6d	NO	PARTIAL_OR_CONDITIONAL
C05	stationary_Killing_norm_depth	delta_K=log(N_p/N_q)	DEPTH_BRANCH	Metric-native signed depth exists on a supplied stationary branch with intrinsic Killing line.	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	ad62ca1a6b85d04941719adc164db22f2ad4b457	9be7ec15352a672eea3bd9e463264c72098359ce7b038fd2d7b781000310ea45	NO	PARTIAL_OR_CONDITIONAL
C06	Levi_Civita_path_transport	coframe parallel transport U_gamma	TRANSPORT	Metric-canonical path transport is not reciprocal dilation and does not choose physical paths.	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	ad62ca1a6b85d04941719adc164db22f2ad4b457	9be7ec15352a672eea3bd9e463264c72098359ce7b038fd2d7b781000310ea45	NO	PARTIAL_OR_CONDITIONAL
C07	stationary_hybrid_comparison	(D(delta_K),U_gamma)	STRONGEST_PARTIAL	Same-lineage reducible clock plus coframe transport; no single reciprocal full lift, lambda selector, or completion.	udt_complete_physical_comparison_map_audit_2026-07-27/AUDIT_REPORT.md	ad62ca1a6b85d04941719adc164db22f2ad4b457	9be7ec15352a672eea3bd9e463264c72098359ce7b038fd2d7b781000310ea45	NO	PARTIAL_OR_CONDITIONAL
C08	path_groupoid_with_supplied_depth	C_gamma=(D(delta_gamma),U_gamma)	CONDITIONAL_MULTI_LAYER	Exact functor after depth, path, initial pair, lambda, and complete branch are supplied.	udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	96f7f0ac536475bbc00e705872173695ef957483	c7aeeb813bd276a1bf06dff67268a7799f4e2d710edf888789db7f6278cc0b6d	NO	PARTIAL_OR_CONDITIONAL
C09	endpoint_parallel_lambda_plus_one	global parallel grading	CONDITIONAL_SELECTOR	Selects lambda=+1 only by the unentailed path-independence/parallelism premise.	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	c77d47beee18489fcd9fe7b5ef2d1c31f8eeedbd	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	NO	PARTIAL_OR_CONDITIONAL
C10	reduced_holonomy_lambda_pm_one	observer or ruler stabilizer reduction	CONDITIONAL_SELECTOR	Different supplied reductions give +1 or -1 and do not select a global section.	udt_metric_natural_complete_extension_selector_audit_2026-07-27/AUDIT_REPORT.md	7fe9fd2dd0ff9ed4e109539213c961fe991e4c74	729a40c218585af020526294a74c7246715d13ed5c8c4363dc12eda8cc1de0f6	NO	PARTIAL_OR_CONDITIONAL
