premise_id	object	status_in_audit	provenance	open_scope
P01	base_repository_tree	pinned-by-THEORY	Git tree c0c9b44 at bb70833	untracked and later files excluded from candidate discovery
P02	founding reciprocal pair	pinned-by-THEORY	CURRENT_SCIENTIFIC_PREMISES G01 G02	physical comparison profile complete extension
P03	observer-frame reciprocity	pinned-by-THEORY	founding premise with current covariant interpretation	finite physical pair and global operation
P04	c_E	pinned-by-THEORY as OBSERVED anchor	CURRENT_SCIENTIFIC_PREMISES G06	no shape or joint selector rank assumed
P05	G_obs	pinned-by-THEORY as OBSERVED anchor	CURRENT_SCIENTIFIC_PREMISES G06	native placement and scale closure excluded
P06	strong local CSN	inactive	CURRENT_SCIENTIFIC_PREMISES G04	cannot supply selection
P07	common factor cancellation	pinned-by-THEORY algebra only	CURRENT_SCIENTIFIC_PREMISES G05	no Weyl gauge or physical selector inferred
P08	co-presence	WORKING interpretation	current frontier	no mathematical operation assumed
P09	finite-cell structure	free-and-explored across registered completions	current completion atlases	no cap seam quotient or edge chosen
P10	complete_nonultrastatic_RxS3_family	pinned-by-THEORY existence control	July 28 global-definition audit	not selected on shell
P11	lambda	free-and-explored real modulus	X_lambda counterfamily	no trace zero isotropy or spectator value pinned
P12	phi_profile	free-and-explored smooth admissible profile	complete family countercontrol	no EOM or observed fit
P13	physical_depth_cocycle	free-and-explored endpoint cocycle family	counterfamily C03	metric-native member unselected
P14	twist	free-and-explored on/off control	counterfamily C05	no ruler line assumed when twist vanishes
P15	action_source_carrier_density	EXCLUDED	current authority boundary	all downstream physics
P16	GR_or_external_mechanics	comparison-only	binding UDT rules	cannot provide affirmative selector
P17	pre_July_1_material	negative_or_historical_only	July 1 provenance firewall	cannot provide affirmative UDT physics
P18	compute	CPU text census and exact algebra only	user authorization	no GPU PDE ODE or time-live solve
