source_id	path	group	affirmative_terms	conditional_terms	open_terms	joint_terms	review_scope
S0001	AGENTS.md	ROOT::AGENTS.md	9	9	12	1	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0002	HANDOFF.md	ROOT::HANDOFF.md	37	53	41	16	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0003	INDEX.md	ROOT::INDEX.md	18	21	16	8	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0004	LIVE.md	ROOT::LIVE.md	70	65	53	30	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0005	MEMORY.md	ROOT::MEMORY.md	5	3	3	1	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0006	NEGATIVES_REGISTRY.md	ROOT::NEGATIVES_REGISTRY.md	85	10	58	60	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0007	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	ROOT::UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	45	57	33	25	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0008	archive/ALGEBRAIC_MATTER_PATH_PLAN.md	archive	0	0	0	2	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0009	archive/B1_mass_dilation_cost_results.md	archive	12	4	4	6	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0010	archive/B1_nativeness_verifier_results.md	archive	10	0	0	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0011	archive/B2_phi_angular_spectrum_results.md	archive	19	0	10	11	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0012	archive/CATALOG_FRAME.md	archive	4	0	4	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0013	archive/COMPLETION_PROGRAM.md	archive	20	1	7	6	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0014	archive/CRITICAL_UNIVERSE_FRAME.md	archive	0	0	3	3	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0015	archive/DYNAMIC_SCALE_SYNTHESIS.md	archive	2	0	3	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0016	archive/EVERYTHING_ON_SOLVER_BUILD_MAP.md	archive	8	4	3	1	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0017	archive/EVERYTHING_ON_SOLVER_P2_MAP.md	archive	7	1	3	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0018	archive/EVERYTHING_ON_SOLVER_P5_MAP.md	archive	5	3	1	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0019	archive/EVERYTHING_ON_SOLVER_P5e_MAP.md	archive	7	5	4	2	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0020	archive/EVERYTHING_ON_SOLVER_P5e_REMAP_derived_operator.md	archive	31	8	7	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0021	archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md	archive	10	0	6	3	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0022	archive/LIVE_2026-07-05_evening_arc.md	archive	7	1	4	0	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
S0023	archive/LIVE_2026-07-06_EOD1_readout_provenance_arc.md	archive	2	1	1	1	FIXED_BASE_BLOB_MECHANICAL_PROPOSITION_CENSUS
