obligation_id	layer	requirement	pass_condition	common_false_pass
J01	input	complete Lorentzian metric or coframe	one coherent nondegenerate four-dimensional object is supplied	local pair or disconnected metric pieces called complete
J02	input	founded reciprocal observer data	exact clock/ruler inverse action and observer typing enter the operation	coordinate time/radius substituted for physical observers
J03	output_depth	physical comparison arrows	observer/event/path domain and pairing are defined	abstract ordered pair called physical
J04	output_depth	metric-native signed depth	depth follows from complete input and obeys neutrality reversal composition	arbitrary f(q)-f(p) chosen
J05	output_lift	finite full-frame response	pair action is integrated on every coframe slot	infinitesimal or pair-only rule called complete
J06	output_lift	transverse and mixing selection	lambda/mixing data are determined or explicit residual moduli retained	spectator screen isotropy or trace zero assumed
J07	output_global	transition and overlap law	local constructions agree tensorially on chart overlaps	one chart called global
J08	output_global	completion and descent	caps seams quotients or other completion data and descent are supplied	completion taxonomy called selection
J09	output_global	causal interfaces	null zero and type-changing strata have an explicit continuation or exclusion theorem	regular-stratum law extrapolated silently
J10	law	observer covariance	operation is equivariant with no preferred fixed plane	covariance of a family called unique selection
J11	law	composition and loops	identity reversal concatenation and loop consistency hold	ordinary composition or trivial holonomy assumed to select data
J12	law	jointness	one source lineage maps the common input to all three output layers	cross-package assembly without explicit typed import
J13	law	counterfamily discrimination	operation distinguishes lambda profile cocycle twist and completion controls from stated inputs	preferred member picked by merit
J14	law	kinematics versus realization	off-shell construction and on-shell selection are explicitly separated	configuration existence called an equation
J15	status	uniqueness or residual family	all surviving functions representations paths and moduli are reported	one witness promoted to unique law
