source_id	path	git_blob	size_bytes	sha256	group	hit_buckets
S0001	AGENTS.md	a6842bb744c6bb6de17859326c41c00db06ed956	16793	1a46d3db5674058ee1d6c06acc97c8d4d6b04498fb3a96554d09411a06dd31de	ROOT::AGENTS.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0002	HANDOFF.md	dbdc8c590f2640219e8e37f478acf1977507e69c	58533	7eee3dfd056305cfb48798de836e204aae02f1ebebd1a84fece08c0094865a56	ROOT::HANDOFF.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0003	INDEX.md	da580f08e15e94da90c848e5eb6a6f64de145227	30832	9844c94a7d54446f662f257fdf6d3303396dfea476441e4b8e7e9ef4d4e10910	ROOT::INDEX.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0004	LIVE.md	b888cdbf29244cb8f2d30f2165e7c58db510512c	107514	9bf26db35a4af3ed4b6f41dab19610664f84045c95a5ba68d366e63b42bd22ac	ROOT::LIVE.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0005	MEMORY.md	e08e1053253ddb3017932be849ad08426b03ab69	6796	a49c84a5ab0ca0f2b590259193e62ef54628c29bc1740fff5de8d33a4843a69b	ROOT::MEMORY.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0006	NEGATIVES_REGISTRY.md	71c7cae1f659c40636537db211311f8bdb972025	164174	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc	ROOT::NEGATIVES_REGISTRY.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0007	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	6906f33cc0f0bb8b3dd831fe903f62fd0adc4b93	71360	17829f498426224947fe2a47610634919bf2500d3452d3ad74c6801e5bdbc39c	ROOT::UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT
S0008	archive/ALGEBRAIC_MATTER_PATH_PLAN.md	46c8c0190fa296af98977ae09c84f03e2b81e2ff	6785	e0c50bd7df77337a893b696039c3931b186d5543328a4c03128b6525dbdba057	archive	B1_FOUNDING;B4_GLOBAL;B5_JOINT
S0009	archive/B1_mass_dilation_cost_results.md	bc14a524f20dbced57a34345d991bb3bbe654095	18470	2f0ecfb106179b112f6960f7f0bf4a2bda866eba1384f5eef999687fe1f4d1a3	archive	B5_JOINT
S0010	archive/B1_nativeness_verifier_results.md	dc6a939ec67f9191fb5b81b11b0bdec2fa580923	13144	4a5c4738a8554416dd1ef50398d4500077fde0a2b19ab697c4cfe3ac634b3134	archive	B5_JOINT
S0011	archive/B2_phi_angular_spectrum_results.md	b8954e96900a561e63fcd8bd74fd8513ce766142	20319	002a22adf0610db99e507f8af40774a3f6f5de945289dfc9f2c639e952fd0d4e	archive	B4_GLOBAL;B5_JOINT
S0012	archive/CATALOG_FRAME.md	b21e4443f95c9544a235dfc2bf41dc055968ec03	5094	6a9cf235213a3252d796dc4285d4626990656afa74cbe36c279003feb37dd0a1	archive	B4_GLOBAL;B5_JOINT
