group	text_files	hit_files	buckets	bucket_count	qualifies	candidate_files
.claude	7	6	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::AGENTS.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::ANGULAR_TORIC_HANDOFF_UPDATE_PREREG_2026-07-19.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::AUDIT.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::CANON.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::CLAUDE.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::CODEX_STARTUP_REHEARSAL_2026-07-17.md	1	1	B5_JOINT	1	NO	0
ROOT::CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_2026-07-19.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::CODEX_ZERO_CONTEXT_STARTUP_REHEARSAL_PREREG_2026-07-19.md	1	1	B5_JOINT	1	NO	0
ROOT::COGNITIVE_CORRAL_TRIGGERS_SETUP.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::CROSS_MODEL_VERIFY.md	1	1	B5_JOINT	1	NO	0
ROOT::CURRENT_SCIENTIFIC_PREMISES.md	1	1	B1_FOUNDING;B2_DEPTH;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::CURRENT_SCIENTIFIC_PREMISES.tsv	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::D1_FIX_DESIGN.md	1	0		0	NO	0
ROOT::F0_SYSTEMATIC_AUDIT_results.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::F2_closure_results.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::F2_matter_action_forcedness_results.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::F4_seal_boundary_MAP.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::F5_critical_universe_closure_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::F6_postulate_A_ledger_results.md	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::F7_scale_bridge_native_results.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::F8_metric_choices_results.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	1	1	B1_FOUNDING;B2_DEPTH;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::GR_NUMERICS_RESEARCH_2026-06-29.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::H3_hopfion_solve_preregistration.md	1	1	B5_JOINT	1	NO	0
ROOT::H4_GP_switch_hopfion_MAP.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::H4_N1_offround_transverse_equation_results.md	1	1	B5_JOINT	1	NO	0
ROOT::H4_N2_farfield_reduction_results.md	1	1	B5_JOINT	1	NO	0
ROOT::H4_N4_backreaction_solve_preregistration.md	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::H4_N4_backreaction_solve_results.md	1	1	B3_LIFT;B5_JOINT	2	NO	0
ROOT::H4_N4a_source_background_audit_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::H4_N4rev_conditional_mass_response_results.md	1	1	B2_DEPTH;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::H4_N4rev_sign_certification_results.md	1	1	B2_DEPTH;B3_LIFT;B5_JOINT	3	NO	0
ROOT::H4_N5_whole_cell_criticality_MAP.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::H4_N5a_whole_cell_criticality_rederivation_results.md	1	1	B5_JOINT	1	NO	0
ROOT::H4_N5b_flux_budget_closure_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::H4_backreaction_mass_MAP.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::H4_screening_taxonomy_MAP.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::HANDOFF.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::HANDOFF_ARCHIVE.md	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::HYGIENE_HEADER_TEMPLATE.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::INDEX.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::J_of_s_light_deflection_confrontation_MAP.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::LIVE.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::MATTER_SECTOR_MAP_new_foundation.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::MEMORY.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::N5d_solver_build_plan.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::NEGATIVES_REGISTRY.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::P1_PURITY_HARNESS_MAP.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::P5e_proper_results.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::PROBLEM_STATEMENT.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::PROVENANCE.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::PURSUIT_CHARTER_2026-07-04.md	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::QUANTIZATION_MAP.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::README.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::REORGANIZATION_R0_PREREG_2026-07-18.md	1	0		0	NO	0
ROOT::SIMPLE_METRIC_MACRO.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::SOLVER_INTEGRITY_UPGRADES_SPEC.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::STATE.md	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::STRUCTURE_HYGIENE.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::TRACTABILITY_ROUTES.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_DOTTED_LINE.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_ELEGANCE_UNCOVER.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_ELEGANT_FRAME.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	1	1	B5_JOINT	1	NO	0
ROOT::UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	1	1	B5_JOINT	1	NO	0
ROOT::UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	1	1	B1_FOUNDING;B3_LIFT;B4_GLOBAL;B5_JOINT	4	NO	0
ROOT::UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	1	1	B5_JOINT	1	NO	0
ROOT::UDT_H3_BOUNDARY_VIRIAL_CLOSURE_BEFORE_F_DISPATCH.md	1	1	B3_LIFT;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_H3_CORRECTED_G_THEN_F_SEQUENCING_DISPATCH.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	1	1	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO	0
ROOT::UDT_METHOD_MUSIC.md	1	1	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	1	1	B5_JOINT	1	NO	0
ROOT::UDT_NATIVE_ACTION_ARM_C_RETURN_2026-07-18.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_COLD_PACKET.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_STAGE1_RETURN_2026-07-18.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_NATIVE_HOPFION_STARTUP_INTEGRATION_PREREG_2026-07-19.md	1	1	B4_GLOBAL;B5_JOINT	2	NO	0
ROOT::UDT_NATURE_LEAN_FRAME.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_SCIENTIFIC_CHECKPOINT_INTEGRATION_PREREG_2026-07-19.md	1	1	B1_FOUNDING;B4_GLOBAL;B5_JOINT	3	NO	0
ROOT::UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	1	1	B1_FOUNDING;B2_DEPTH;B3_LIFT;B4_GLOBAL;B5_JOINT	5	YES	1
ROOT::UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	1	1	B1_FOUNDING	1	NO	0
ROOT::UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
ROOT::angular_completeness_results.md	1	1	B1_FOUNDING;B3_LIFT;B5_JOINT	3	NO	0
ROOT::angular_lagrangian_results.md	1	1	B1_FOUNDING;B5_JOINT	2	NO	0
