premise	stamp	role_in_audit	promotion_forbidden
founded_phi	DERIVED_ADDITIVE_LOG_DEPTH_OF_RECIPROCAL_PAIR	pair representation input	profile or physical assignment not inferred
reciprocal_pair_action	DERIVED	D(delta)=diag(exp(-delta),exp(+delta))	complete full-frame lift not inferred
observer_frame_reciprocity	DERIVED_FOUNDING_RELATION	covariance and reversal/composition gates	preferred fixed plane not introduced
complete_Lorentzian_metric_or_coframe	FREE_AND_EXPLORED_INPUT	common construction domain	one branch not called realized
physical_comparison_arrows	OPEN_REQUIRED_OUTPUT	J03 gate	abstract ordered pair not called physical
signed_depth	OPEN_GENERAL_DERIVED_BOUNDED_STATIONARY	J04 gate	arbitrary endpoint scalar not selected
path	FREE_AND_EXPLORED_OR_SUPPLIED	path-groupoid candidates	no preferred path by habit
lambda_and_mixing	FREE_AND_EXPLORED	J06 and counterfamily gates	trace zero isotropy or spectator screen not assumed
completion_and_interfaces	FREE_AND_EXPLORED	J08-J09 gates	cap seam quotient or continuation not invented
stationarity	CHOSE_BOUNDED_CANDIDATE_DOMAIN	strongest partial C05-C07	not promoted to universal or on-shell
R_x_S3_topology	CHOSE_COUNTERFAMILY_DOMAIN	complete existence control	not selected as universe topology
c_E	OBSERVED_ANCHOR	stationary readout and dimensional calibration	does not select lambda or global data
G_obs	OBSERVED_ANCHOR	authority stamp only	does not select dimensionless lift
strong_local_CSN	INACTIVE_CHALLENGED_NOT_DERIVED	excluded	no trace or determinant selector imported
co_presence	WORKING_INTERPRETIVE_FRAME	authority stamp only	no equation inferred from wording
bootstrap	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	authority stamp only	no local selector or return map inferred
action_source_carrier_boundary_density_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL_EXCLUDED	outside maximum conclusion	cannot fill kinematic gaps
pre_July_sources	HISTORICAL_NEGATIVE_ONLY	failure and counterexample evidence	no affirmative UDT physics
