candidate_id	candidate	J01	J02	J03	J04	J05	J06	J07	J08	J09	J10	J11	J12	J13	J14	J15	all_obligations_pass
C01	founded_pair_character	FAIL	PASS	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	PARTIAL	FAIL	FAIL	PASS	PASS	NO
C02	arbitrary_endpoint_cocycle	FAIL	FAIL	FAIL	CONDITIONAL_EXTRA	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	PASS	FAIL	FAIL	PASS	PASS	NO
C03	affine_metric_response_query	PASS	FAIL	FAIL	FAIL	PARTIAL	FAIL	PASS	FAIL	FAIL	PASS	FAIL	FAIL	FAIL	PASS	PASS	NO
C04	ordered_pair_projector_family	PASS	PASS	FAIL	FAIL	PASS	PARTIAL	PARTIAL	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS	PASS	NO
C05	stationary_Killing_norm_depth	PASS	PASS	PARTIAL	PASS	FAIL	FAIL	PASS	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS	PASS	NO
C06	Levi_Civita_path_transport	PASS	FAIL	FAIL	FAIL	PARTIAL	FAIL	PASS	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS	PASS	NO
C07	stationary_hybrid_comparison	PASS	PASS	PARTIAL	PASS	PARTIAL	FAIL	PASS	FAIL	FAIL	PASS	PASS	PASS	FAIL	PASS	PASS	NO
C08	path_groupoid_with_supplied_depth	PASS	PASS	CONDITIONAL_EXTRA	CONDITIONAL_EXTRA	CONDITIONAL_EXTRA	PARTIAL	PASS	FAIL	FAIL	PASS	PASS	PASS	FAIL	PASS	PASS	NO
C09	endpoint_parallel_lambda_plus_one	PASS	PASS	FAIL	FAIL	CONDITIONAL_EXTRA	CONDITIONAL_EXTRA	FAIL	FAIL	FAIL	FAIL	CONDITIONAL_EXTRA	FAIL	FAIL	PASS	PASS	NO
C10	reduced_holonomy_lambda_pm_one	PASS	PASS	FAIL	FAIL	CONDITIONAL_EXTRA	CONDITIONAL_EXTRA	FAIL	FAIL	FAIL	PASS	FAIL	FAIL	FAIL	PASS	PASS	NO
C11	twisted_S3_intrinsic_witness	PASS	PASS	PARTIAL	PASS	PARTIAL	PARTIAL	PASS	PARTIAL	PARTIAL	PASS	PARTIAL	FAIL	FAIL	PASS	PASS	NO
C12	completion_and_seam_catalogue	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	PARTIAL	PARTIAL	FAIL	FAIL	FAIL	FAIL	PASS	PASS	NO
C13	Xmax_asymptotic_pair_bridge	FAIL	FAIL	PARTIAL	FAIL	FAIL	FAIL	FAIL	PARTIAL	PARTIAL	FAIL	FAIL	FAIL	FAIL	PASS	PASS	NO
C14	bootstrap_whole_solution_closure	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	PASS	PASS	NO
C15	action_or_variation_selector	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	PASS	PASS	NO
C16	complete_nonultrastatic_family	PASS	PASS	FAIL	FAIL	PARTIAL	PARTIAL	PASS	PASS	PARTIAL	PASS	FAIL	FAIL	FAIL	PASS	PASS	NO
