catch_id	mutation	result	guard
F01	strong_CSN_reactivated	PASS_REJECTED	O09_primary_type_and_epistemic_status
F02	c_anchor_dropped	PASS_REJECTED	O02_observational_anchor
F03	c_promoted_to_absolute_length	PASS_REJECTED	O02_absolute_length_guard
F04	Xmax_boundary_guard_deleted	PASS_REJECTED	O10_global_limit_boundary_separation
F05	phi_field_guard_deleted	PASS_REJECTED	O05_potential_not_independent_field
F06	coframe_promoted_on_shell	PASS_REJECTED	O11_configuration_architecture
F07	S2_carrier_promoted	PASS_REJECTED	O15_carrier_posit
F08	bootstrap_optimizer_inserted	PASS_REJECTED	O19_mutual_admissibility_not_optimizer
F09	action_promoted	PASS_REJECTED	O20_action_open
F10	variation_promoted	PASS_REJECTED	O21_variation_ownership_open
F11	source_promoted	PASS_REJECTED	O22_source_open
F12	mass_promoted	PASS_REJECTED	O23_mass_open
F13	copresence_signal_guard_deleted	PASS_REJECTED	O26_domain_membership_not_signal
F14	C2_reactivated	PASS_REJECTED	D01_CSN_conditionality
F15	historical_validation_reactivated	PASS_REJECTED	C11_lifecycle
F16	action_order_selected	PASS_REJECTED	G27_no_order_selected
