step_id	date	object	record_status	what_record_establishes	current_ruling
C01	2026-07-15	conformal_action_map	OPEN_CANDIDATE_NOT_USER_ADOPTED	common_factor_is_underdetermined_by_reciprocal_c_and_may_be_treated_as_representational	proposal_only
C02	2026-07-15	conformal_action_validation	29_OF_29_ALGEBRA_CHECKS	if_local_CSN_plus_named_class_premises_then_C2_Bach_is_unique_conditional_and_WRL_is_admitted_not_selected	conditional_algebra_retained
C03	2026-07-15	owner_lock	FOUNDATIONAL_POSTULATE_LOCKED_AFTER_AUDIT	CSN_declares_local_common_factor_calibrational_and_explicitly_founds_conformal_action_branch	historical_owner_postulate
C04	2026-07-17	cold_packet	LOCKED_INPUT	cold_arms_receive_CSN_as_foundation_and_may_not_weaken_it	cannot_independently_validate_CSN
C05	2026-07-18	final_action_adjudication	FOUNDING_INPUT_AND_UNIQUE_CONDITIONAL_OUTPUT	C2_Bach_grade_depends_on_exact_local_CSN_and_other_class_premises	conditional_dependency_exposed
C06	2026-07-24	owner_reopening	CHALLENGED	c_E_is_physical_clock_distance_anchor_and_scale_free_physical_metric_is_epistemically_unjustified	owner_correction
C07	2026-07-24	provenance_audit	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	reciprocal_pairing_derives_uv_equals_1_but_not_local_Weyl_equivalence	controlling_status
C08	2026-07-24	dependency_regrade	SURGICAL_REGRADE	C2_priority_and_representative_first_bridge_lose_active_authority_while_ratio_topology_WRL_SNe_and_Hopfion_algebra_survive	no_wholesale_rerun
C09	2026-08-05	current_registry	INACTIVE_UNLESS_EXPLICITLY_REAUTHORIZED	strong_local_CSN_is_not_an_active_selector_or_gauge_equivalence	current_authority
C10	2026-08-05	owner_motive_recollection	CORROBORATED_BY_SEQUENCE_NOT_DIRECT_QUOTE	CSN_was_accepted_immediately_after_it_closed_the_early_conformal_action_sieve	motive_testimony_supported_but_not_textually_proven
C11	2026-08-05	early_validation_lifecycle	HISTORICAL_CONDITIONAL_ALGEBRA_RETAINED__PHYSICAL_SELECTOR_RETIRED	the_29_check_C2_WRL_audit_is_not_empirical_validation_and_no_longer_selects_native_physics	retired_as_active_selector_not_deleted_or_mathematically_refuted
