source_id	path	role	git_blob	sha256	last_commit
S01	LIVE.md	current_authority	543a563a8500c45b0fd9ca5ec8b4391a3c664529	eb3b859c7e736221d9c261a7b933729216babd8d66b193f09810ee05349adb0a	f7132d70fbf5cff2895d36fe91698dd3cb77aae9
S02	CURRENT_SCIENTIFIC_PREMISES.md	current_semantic_index	740b2d393a151e7a11c6f1133a06dc40a5e02211	d24e7a8ec84424948364e7149599272ff43969f69aa582a1eadf2d8c3be0cf03	f7132d70fbf5cff2895d36fe91698dd3cb77aae9
S03	CURRENT_SCIENTIFIC_PREMISES.tsv	current_semantic_registry	75eb730663dd41be8b9725eb7db904d1c0eb8a58	03bd2568c859f339c8b43c78e4e4b6fbf56ac2b8ae413e8bd75b442ad2fc25a5	f7132d70fbf5cff2895d36fe91698dd3cb77aae9
S04	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	current_frontier_router	ae5960c3a0a0460a24f8151926f384e5168172fe	9128ddf72b32ef761295dcc6c370e7eb563ade8b34201c82f17989701887baef	f7132d70fbf5cff2895d36fe91698dd3cb77aae9
S05	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding_reciprocal_source	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5
S06	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md	current_phi_object_authority	7e7f92f7538a3a966a15b9cce7d9639a9592657b	65905b6b2718fd9c1057143a7148104bb14d7e65eeee3bdc7a7010af8cbe90eb	682adb6c9d4cc7c9834cb5ea6a7712a32206650b
S07	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md	current_phi_exact_derivation	cc4e1da62c1cb1f5f4c53923b4e0b89f035f671f	0d83baaaa9f0586cb3f3b0cd7af16b201996a124dba6a050c71624a2e638a4fd	682adb6c9d4cc7c9834cb5ea6a7712a32206650b
S08	UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	historical_owner_postulate	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5
S09	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md	controlling_csn_correction	1ddbd07fb788dde6322eebcf5c5935c35927e0fa	98e8fd166e8257e4ad4e40695d05b198c6fc4c1342e39bcfeb013c230a14321d	25ab620363e07b49dc5268f8714ea2314523d2d1
S10	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	controlling_csn_status	2afe2ca39ade32cc9c9873f6100239f2681ea37a	18076d2145bfb954b7a998c71de1f0eedad919c63c59ec75dcbf408a4432e0c6	25ab620363e07b49dc5268f8714ea2314523d2d1
S11	udt_common_scale_neutrality_provenance_audit_2026-07-24/DOWNSTREAM_IMPACT_LEDGER.tsv	controlling_csn_dependencies	dbb3ca707686400ad819c564c6011467585032d3	2c03cdf251c82c0582a077ec0fa6762fad62a41af1da72167eaed3b22c36bafd	25ab620363e07b49dc5268f8714ea2314523d2d1
S12	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_MAP.md	csn_motivation_map	69ee0bcf406efd7635e9ba15b1c444aa87e5c2bc	c200746e72a3a56c497ab8f4e7d41c16b7e358b06d2d0aa9f2749185c084a8a2	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5
S13	archive/native_action_chat_2026-07-14_15/UDT_RECIPROCAL_C_CONFORMAL_ACTION_DERIVATION_RESULTS.md	csn_motivating_validation	0f5077ceab15b6356f9f08da2462b59fde22fcc6	60239f92223635292218081c2a3517a151ea69d52e5d7ed2adf1d20ab5b3d1e7	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5
S14	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	action_source_boundary_mass_status	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	ded310a8e997c0220d35b0620ae1ac4d45b1e106
