family_id	family	prior_risk	current_object_type	algebra_status	physical_authority	immediate_rederivation	controlling_reason
D01	C2_Bach_action	strong_CSN_treated_as_foundational_selector	conditional_action_class	RETAINED	INACTIVE_WITHOUT_EXPLICIT_STRONG_CSN	NONE	CSN_was_postulated_not_derived_and_is_currently_inactive
D02	EH_action	removal_of_CSN_mistaken_for_EH_derivation	conditional_action_class	RETAINED	CONDITIONAL_NOT_SELECTED	NONE	removing_one_exclusion_does_not_select_an_action
D03	two_stage_C2_to_EH_bridge	representative_selection_stage_treated_as_mandatory	open_conditional_architecture	RETAINED_AS_PROPOSAL	POSSIBLY_SUPERFLUOUS_ON_PHYSICAL_METRIC_BRANCH	NONE	calibrated_metric_can_be_primary_without_pre_scale_class
D04	physical_representative_selector	common_factor_underdetermination_treated_as_required_gauge_fix	open_only_on_CSN_branch	RETAINED_NEGATIVE_ON_ITS_BRANCH	NOT_A_UNIVERSAL_BLOCKER	NONE	selector_is_needed_only_if_strong_CSN_is_reauthorized
D05	reciprocal_phi_foundation	pointwise_phi_treated_as_universal_physical_field	relational_character_plus_potential_representation	RETAINED	DERIVED_RELATION_WITH_OPEN_ASSIGNMENT	ZERO_CURRENT_LOAD_BEARING_ROWS	founding_source_supplies_depth_then_derives_character
D06	Xmax	asymptote_treated_as_edge_seal_or_boundary	global_limit_frame	RETAINED	WORKING_GATE_WITH_VALUE_AND_LAW_OPEN	NONE	infinite_dilation_limit_is_not_variational_boundary data
D07	finite_cell_and_seal	finiteness_mirror_closure_and_boundary_functional_merged	working_domain_plus_conditional_identification_plus_open_variational_completion	RETAINED_WITH_EXISTING_REGRADES	NO_COMPLETE_BOUNDARY_AUTHORITY	NONE	three_different_mathematical_objects
D08	bootstrap	density_tuning_or_scalar_optimizer_invented	working_multibranch_mutual_admissibility_relation	RETAINED	PARTIAL_KINEMATIC_JOIN_ONLY	NONE	readout_is_not_feedback_and_posit_does_not_supply_formula
D09	variation_ownership	searched_as_a_standalone_hidden_field	structural_slot_of_candidate_law	RETAINED_TYPE_ATLAS	OPEN_AND_CO_DEFINED_WITH_LAW	NONE	queries_sections_global_moduli_and_boundaries_have_different_tangents
D10	native_source	conditional_stress_or_geometric response_promoted_to_matter_source	open_response_role	RETAINED_CONDITIONAL_IDENTITIES	OPEN	NONE	complete_law_coupling_variation_and_normalization_absent
D11	physical_mass	energy_or_mass_like_number_promoted_to_mass	open_normalized_global_or_solution_readout	RETAINED_F01_F02_F04_CONDITIONALS	OPEN	NONE	charge_generator_reference_normalization_and_selected_solution_absent
D12	angular_and_Hopf_structure	angular_sector_celestial_S2_and_round_carrier_merged	configuration_sector_plus_conditional_fiber_plus_carrier_posit	RETAINED	NO_NATIVE_CARRIER	NONE	fiber_does_not_select_section_target_action_or_boundary
D13	co_presence_and_causality	whole_solution_membership_promoted_to_instantaneous_access	semantic_domain_membership_plus_metric_reachability	RETAINED	NO_SIGNAL_OR_MATTER_THEOREM	NONE	global_co_membership_is_not_causal_comparability_or_response
D14	complete_coframe_and_motifs	configuration_arena_or_diagnostic_treated_as_on_shell_solution	defined_architecture_plus_derived_properties	RETAINED	NO_SELECTOR_ACTION_OR_DYNAMICS	NONE	Cartan_reconstruction_and_holonomy_diagnose_each_supplied_geometry
D15	WRL_SNe	observational_compatibility_used_to_select_upstream_law	conditional_downstream_readout	RETAINED	NO_UPSTREAM_SELECTOR	NONE	multiple_law_homes_can_feed_same_readout
D16	Maxwell_like_geometry	toric_closure_identified_with_electromagnetism	conditional_geometric_identity	RETAINED	NO_NATIVE_CURRENT_CHARGE_OR_ACTION	NONE	F_dS_and_dF_zero_do_not_supply_physical_ownership
