object_id	term	primary_type	epistemic_status	active_role	open_joint	forbidden_merge	controlling_source
O01	reciprocal_c_identity	FOUNDING_POSTULATE	FOUNDING	coequal_time_length_conversion_directions	complete_physical_realization	measured_signal_speed_or_full_metric_field_equation	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md
O02	Einsteinian_c_E	OBSERVATIONAL_ANCHOR	OBSERVED	explicit_dimensional_clock_length_conversion_in_foundational_metric	placement_in_complete_native_law_and_absolute_size_closure	optional_late_scale_or_absolute_length_or_Xmax_value	CURRENT_SCIENTIFIC_PREMISES.tsv:G06
O03	ordered_relative_depth_datum	FOUNDING_POSTULATE	SUPPLIED_FOUNDING_DATUM	argument_of_reciprocal_character	observer_event_path_to_numerical_depth_assignment	universal_point_field_or_nonnegative_distance	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md
O04	reciprocal_character_D_delta	DERIVED_RELATION	DERIVED	diag_exp_minus_delta_exp_plus_delta_with_composition_and_reversal	complete_4D_angular_mixing_realization	physical_depth_assignment_or_action	udt_founding_phi_ownership_morphism_audit_2026-08-05/EXACT_DERIVATION.md
O05	pointwise_phi	REPRESENTATION_COORDINATE_OR_POTENTIAL	DERIVED_PRESENTATION_STATUS_ON_SUPPLIED_FACTORIZATION	endpoint_potential_only_when_relational_depth_is_endpoint_exact	physical_section_profile_and_globalization	independent_native_scalar_or_undefined_placeholder	udt_founding_phi_ownership_morphism_audit_2026-08-05/AUDIT_REPORT.md
O06	G_obs	OBSERVATIONAL_ANCHOR	OBSERVED	gravitational_dimensional_normalization	placement_in_native_source_action_and_mass_closure	complete_action_or_absolute_length_from_c_and_G_alone	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S06
O07	ordinary_unit_choice	REPRESENTATION_COORDINATE_OR_POTENTIAL	CALIBRATIONAL_RETAINED	global_change_of_measurement_units	operational_calibration_protocol	local_Weyl_equivalence_of_physical_metrics	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S07
O08	common_factor_ratio_cancellation	DERIVED_RELATION	DERIVED_ALGEBRA_ONLY	ratio_and_shape_invariance	physical_status_of_common_factor	strong_local_CSN_gauge_theorem	udt_common_scale_neutrality_provenance_audit_2026-07-24/AUDIT_REPORT.md
O09	strong_local_CSN	HISTORICAL_AID_INACTIVE	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	counterfactual_only_after_explicit_reauthorization	whether_any_weaker_native_equivalence_exists	active_gauge_or_native_action_selector	udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv:S08
O10	Xmax	GLOBAL_OUTPUT_OR_LIMIT	WORKING_FOUNDATIONAL_FRAME	frame_shared_observer_pair_infinite_dilation_separation_asymptote	exact_pair_law_all_frame_theorem_value_and_bootstrap_mass_join	wall_center_radius_seal_or_variational_boundary	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md
O11	complete_coframe	DEFINED_CONFIGURATION_ARCHITECTURE	DEFINED_CONFIGURATION_ARCHITECTURE	arena_for_all_ten_metric_amplitudes_and_presentation_gauge	physical_on_shell_law_and_complete_histories	selected_solution_or_dynamics	udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md
O12	angular_screen_and_mixing_sectors	DEFINED_CONFIGURATION_ARCHITECTURE	DEFINED_FROM_COMPLETE_METRIC_ARENA	metric_degrees_and_relational_transport_structure	metric_native_realization_response_and_global_branch	S2_matter_carrier_or_source	udt_scientific_arc_recovery_checkpoint_2026-08-04/SCIENTIFIC_ARC_CHECKPOINT.md
O13	projector_connection_holonomy_motifs	DERIVED_RELATION	DERIVED_OR_CONDITIONAL_PER_BRANCH	diagnostics_and_intrinsic_properties_of_supplied_complete_geometries	global_persistence_and_physical_branch_ownership	action_source_or_selector	udt_scientific_arc_recovery_checkpoint_2026-08-04/SCIENTIFIC_ARC_CHECKPOINT.md
O14	celestial_null_direction_S2	DERIVED_RELATION	CONDITIONAL_DERIVED_FIBER	projectivized_null_line_fiber_of_inherited_4D_Lorentzian_readout	section_transport_round_target_action_and_boundary	particle_carrier	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv:T03
O15	round_S2_particle_carrier	CONDITIONAL_MODEL_INGREDIENT	POSIT	conditional_Hopfion_branch_target	carrier_emergence_or_replacement	celestial_fiber_or_angular_sector	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv:T05
O16	finite_cell_finiteness	WORKING_POSIT	WORKING_MULTIPLY_ANCHORED	global_domain_or_completion_structure	sharpest_global_realization_and_Xmax_relation	Xmax_asymptote_or_mirror_closure_clause	CURRENT_SCIENTIFIC_PREMISES.tsv:G17
O17	mirror_seal_closure	WORKING_POSIT	OWNER_RATIFIED_PROPOSAL_NOT_DERIVED	conditional_global_identification_or_sector_specific_seam	closure_posture_germ_data_and_physical_realization	finiteness_or_variational_boundary_functional	CURRENT_SCIENTIFIC_PREMISES.tsv:G18
O18	finite_cell_boundary_functional	OPEN_PHYSICAL_LAW_OR_OBJECT	OPEN	differentiable_variational_completion_slot	fields_corners_topology_variations_generator_reference_and_normalization	Xmax_or_seal_value	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S24
O19	global_local_bootstrap	WORKING_POSIT	WORKING_MUTUAL_ADMISSIBILITY	possibly_multibranch_same_solution_correspondence_between_global_data_and_complete_configurations	complete_nonidentity_return_readout_response_mass_volume_density_feedback_and_dynamics	density_optimizer_local_equation_or_unique_universe	udt_global_local_reconstruction_audit_2026-08-04/AUDIT_REPORT.md
O20	complete_native_action	OPEN_PHYSICAL_LAW_OR_OBJECT	OPEN	possible_integrable_generator_of_native_response_but_not_logically_required_to_precede_closure	field_inventory_invariants_coefficients_domain_boundary_and_global_closure	C2_EH_or_Hopf_action_promoted_from_familiarity_or_conditionals	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S23
O21	variation_domain	OPEN_PHYSICAL_LAW_OR_OBJECT	OPEN_NATIVE_VARIATION_DOMAIN	ownership_and_tangent_structure_belonging_to_a_candidate_native_law	independent_parent_fields_derived_sections_global_moduli_and_boundary_tangents	standalone_field_or_object_selected_by_kinematics_alone	udt_native_law_home_codomain_ownership_audit_2026-08-04/VARIATION_OWNERSHIP_ATLAS.tsv
O22	native_source	OPEN_PHYSICAL_LAW_OR_OBJECT	OPEN	response_or_current_role_in_a_complete_native_law	carrier_geometry_coupling_variation_measure_boundary_and_normalization	preexisting_substance_or_conditional_stress_identity	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S22
O23	physical_mass	OPEN_PHYSICAL_LAW_OR_OBJECT	OPEN	candidate_global_charge_response_or_solution_readout_after_normalization	selected_law_source_boundary_generator_reference_and_solution	energy_density_or_mass_like_geometric_number	native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S25
O24	F01_F02_mass_bearing_geometries	SELECTED_SOLUTION_PROPERTY	CONDITIONAL_GEOMETRIC_MASS_BEARING	plural_conditional_response_and_landing_families	native_response_variation_ownership_global_completion_boundary_and_full_stability	physical_mass_or_particle_species	udt_scientific_arc_recovery_checkpoint_2026-08-04/MASS_BRANCH_AUTHORITY_MAP.tsv
O25	static_Hopfion	SELECTED_SOLUTION_PROPERTY	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	stable_configuration_inside_round_S2_L2_plus_L4_fixed_box_model	carrier_emergence_physical_boundary_infinite_volume_time_live_persistence_and_native_mass	unconditional_matter	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
O26	co_presence	DEFINED_CONFIGURATION_ARCHITECTURE	WORKING_SEMANTIC_FRAME	co_membership_of_events_in_one_complete_solution_domain	whether_owner_retains_this_semantics_in_future_complete_theory	zero_time_separation_instantaneous_signal_or_UDT_selector	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv:C01
O27	metric_causal_accessibility	DERIVED_RELATION	DERIVED_FOR_SUPPLIED_TIME_ORIENTED_LORENTZIAN_GEOMETRY	event_relative_reachability_and_characteristic_cone	material_principal_symbol_coupling_data_domain_and_retarded_response	co_presence_or_operational_information_exchange	copresence_causal_accessibility_selector_2026-07-19/STATUS_LEDGER.tsv:C03-C12
