path	role	freeze_status
CURRENT_SCIENTIFIC_PREMISES.md	current_claim_authority	FREEZE_AT_PREREG_BASE
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_authority	FREEZE_AT_PREREG_BASE
udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/AUDIT_REPORT.md	parent_result	FREEZE_AT_PREREG_BASE
udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/EXACT_DERIVATION.md	parent_formula_and_scope	FREEZE_AT_PREREG_BASE
udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/CANDIDATE_REGISTRY.tsv	four_completions	FREEZE_AT_PREREG_BASE
udt_fc07_reciprocal_harmonic_ownership_audit_2026-08-01/SCOPE_CORRECTION.md	mixing_and_descent_scope	FREEZE_AT_PREREG_BASE
udt_whole_configuration_reciprocity_audit_2026-08-01/AUDIT_REPORT.md	current_reciprocity_ruling	FREEZE_AT_PREREG_BASE
udt_whole_configuration_reciprocity_audit_2026-08-01/EXACT_DERIVATION.md	naturality_composition_dual_pair	FREEZE_AT_PREREG_BASE
udt_whole_configuration_reciprocity_audit_2026-08-01/WHOLE_LAW_NATURALITY_LEDGER.tsv	naturality_obligations	FREEZE_AT_PREREG_BASE
udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	global_coframe_gaps	FREEZE_AT_PREREG_BASE
udt_native_global_coframe_definition_audit_2026-07-28/EXACT_DERIVATION.md	composition_scale_counterfamilies	FREEZE_AT_PREREG_BASE
udt_p4_routeB_extension_selection_2026-07-28/EXACT_DERIVATION.md	mixing_cocycle_and_descent	FREEZE_AT_PREREG_BASE
udt_p4_routeB_extension_selection_2026-07-28/STRATUM_SURVIVAL_LEDGER.tsv	J07_J11_scope	FREEZE_AT_PREREG_BASE
udt_mirror_canon_provenance_audit_2026-07-30/PROVENANCE_REPORT.md	mirror_closure_correction	FREEZE_AT_PREREG_BASE
udt_mirror_canon_provenance_audit_2026-07-30/CONSUMER_LEDGER.tsv	seal_consumer_scope	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/AUDIT_REPORT.md	bootstrap_type_gate	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/EXACT_DERIVATION.md	same_solution_return_requirements	FREEZE_AT_PREREG_BASE
