catch_id	result	detail
missing_candidate	PASS	mutant rejected
duplicate_candidate	PASS	mutant rejected
projective_to_equality	PASS	mutant rejected
constant_proportionality_generic	PASS	mutant rejected
primitive_period_to_physical_length	PASS	mutant rejected
raw_ruler_always_harmonic	PASS	mutant rejected
hodge_capacity_fixed	PASS	mutant rejected
flux_level_selected	PASS	mutant rejected
nonzero_constant_solder	PASS	mutant rejected
variable_solder_selected	PASS	mutant rejected
reciprocity_to_fixedness	PASS	mutant rejected
mirror_promoted	PASS	mutant rejected
J07_J11_solved	PASS	mutant rejected
anchors_fix_inverse_length	PASS	mutant rejected
no_relation_removed	PASS	mutant rejected
density_scan_authorized	PASS	mutant rejected
strong_CSN_activated	PASS	mutant rejected
Xmax_loaded	PASS	mutant rejected
free_scale_deleted	PASS	mutant rejected
source_hash_corrupted	PASS	mutant rejected
