item	provenance	status	use
finite ordered depth delta	G217/G220 supplied calibrated relation	pinned-by-THEORY within bounded conditional scope	entire real additive relation coordinate
positive clock ratio r=exp(-delta)	G217/G220/G266	pinned-by-THEORY within bounded conditional scope	multiplicative reciprocal coordinate
determinant-one reciprocal kernel	founding source and G266	pinned-by-THEORY	kernel reconstruction target
M=sech(delta) physical mutual-clock reading	G267	SUPPLIED_PROVISIONAL_CANDIDATE	classification target; not canon or unique
chi=tanh(delta)	G267 bounded signed position	pinned-by-THEORY within G267 scope	signed companion and inverse coordinate
finite regular interior delta in real numbers	declared G268 regime	free-and-explored as the full nonsingular one-parameter space	excludes only ideal infinite-depth endpoints
finite graph size and topology	G268 verification census	free-and-explored	varied sizes/topologies; analytic theorem covers arbitrary finite networks
endpoint-potential network	G217/G235 supplied matched-composite semantics	pinned-by-THEORY within bounded scope	test descent and reconstruction, not population
independent mutual-clock measurement protocol	not owned by current premises	OPEN/HYPOTHETICAL_CONDITIONAL	used only to type O1; never assumed active
compact endpoints delta=plus-or-minus infinity	mathematical closure only	free-and-explored control	not regular relations, distance, boundary, or Xmax
distance scale and attachment	none	OMITTED_OPEN	no distance claim
metric history or propagation law	none	OMITTED_OPEN	no history rejection or solve
observational data or fit	none	OMITTED_OPEN	outcome blind
source action matter transfer Xmax	none	OMITTED_OPEN	forbidden promotion
protected local packages	LIVE/AGENTS prohibition	OMITTED_PROTECTED	not inspected or cited
symbolic and rational arithmetic	numerical/mathematical method	category-A	certification only
