sha256	path	role
ff547bb6108fd4dfba9b27f4a2fcba8e16d884ffd43dc712f9f2d487ceff1509	CURRENT_SCIENTIFIC_PREMISES.tsv	exact premise authority before G268
b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	founding reciprocal representation
511d1278d25622c7a446db90e121c9a6b2acdeff23bcf1f1970d53cf0d4385aa	udt_g217_founded_depth_event_pair_first_jet_ownership_2026-08-22/AUDIT_REPORT.md	composition and supplied-event scope
9806ac14f5d0bc419501878627dc79770ba4dd7c50f4f14dee0db216c3d9598f	udt_g220_covariant_null_clock_arrow_timelive_lift_2026-08-22/AUDIT_REPORT.md	covariant supplied clock ratio
17498596165aa9b5678d937aed37fd1f28be438a8c1745814abd60d0d78ebe16	udt_g235_rank_complete_matched_network_nonselection_2026-08-23/AUDIT_REPORT.md	network reconstruction/nonselection boundary
363ed6921beb538ceb744f39f50806447ac44604a07a3ff49414042732720621	udt_g266_covariant_mutual_pair_even_channel_ownership_2026-08-26/AUDIT_REPORT.md	even/odd ownership landing
fb7c11ec5b9f31e15cbb6b31738a218465f52c463035cd84b8ecbdb4a9fc1349	udt_g266_covariant_mutual_pair_even_channel_ownership_2026-08-26/EXACT_DERIVATION.md	kernel algebra and candidate boundary
a1d53fb901892d65db3c30e57960eda1e9060233fecf206a37b85b2317ed0f75	udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/AUDIT_REPORT.md	provisional bounded-state landing
361afaeea665e56e38215e4b12e704f39b11f01acf316eea3a524bbd80c1641f	udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/EXACT_DERIVATION.md	bounded-state formulas
450bd1d92a16f222dc20ce297ca0e25ef8d7e8ebadca6cb42235062b6eded862	udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/EXTERNAL_REVIEW.md	accepted external boundary
