object	status	owner	open_scope
spherical_warped_metric	SUPPLIED_CONDITIONAL	history_and_metric	physical_history
regular_center	PINNED_BY_THEORY_IN_QUERY_CLASS	smooth_spherical_geometry	singular_centers
central_radial_null_branch	CHOSE_QUERY	point_observer_exponential	universal_query_or_branch
affine_frequency_normalization	CHOSE_CALIBRATION	observer_query	other_normalizations
rotational_Jacobi_fields	DERIVED	metric_isometry_action	nonspherical_or_displaced_observers
parallel_screen	DERIVED_ON_R_POSITIVE_BRANCH	warped_connection	global_section_through_caustic
D_sky_equals_R_O2	DERIVED	metric_plus_query	outside_central_spherical_class
absolute_screen_area_R_squared	DERIVED	metric_plus_query	branch_aggregation
zero_shear	DERIVED_ON_DECLARED_CLASS	spherical_symmetry	nonspherical_shear
full_phase_at_caustic	DERIVED_CONDITIONAL	Jacobi_equation	physical_image_weight
frequency_Z_omega	SUPPLIED_TYPED_READOUT	ray_and_endpoint_velocities	observed_catalog_protocol
transfer_T	OPEN	source_carrier_law	not_metric_selected
P1_effective_chord	CONDITIONAL_OBSERVED_ANCHOR	frozen_SNe_interface	R_and_T_separation
