id	stability_notion	required_object	current_status	source_basis	typed_role	open_limit
R01	GEOMETRIC_PERSISTENCE	configuration/admissibility domain	PARTIAL_DERIVED_REGISTERED	metric/coframe and P4 formal response spaces are registered	defines which configurations and formal deformations are kinematically admissible	does not select a physical curve or realized solution
R02	GEOMETRIC_PERSISTENCE	one-parameter admissible family	FORMAL_ONLY	P4 static/time/angular pointwise modules	permits a curve through formal configuration space	no native evolution or response selects the curve
R03	GEOMETRIC_PERSISTENCE	fixed realized on-shell configuration	OPEN	P4 cold review Q2	anchors persistence to one solution rather than a formal family	formal module containment cannot establish realized coexistence
R04	GEOMETRIC_PERSISTENCE	boundary/global completion along family	OPEN	finite-cell boundary and native-action ledgers	keeps the family inside one physical finite-cell problem	seal data alone do not complete the boundary problem
R05	ENERGETIC_OR_SPECTRAL_STABILITY	functional or native response generator	CONDITIONAL_OR_OPEN	P4 stability slice; native-action final adjudication	defines Hessian, spectrum, or flow	metric kinematics alone admit opposite verdicts
R06	ENERGETIC_OR_SPECTRAL_STABILITY	stationary/on-shell background	CONDITIONAL_SLICES_ONLY	P4 stability slice; corrected Hopfion work	provides the configuration about which variation is taken	no complete native joint solution is selected
R07	ENERGETIC_OR_SPECTRAL_STABILITY	perturbation and variation domain	PARTIAL_CHOSEN	P4 stability slice premise stamps	specifies allowed perturbations and constraints	different domains can change an index or certificate
R08	ENERGETIC_OR_SPECTRAL_STABILITY	gauge quotient or physical-reading rule	OPEN_FORK	P4 response and time-live audits	separates gauge/calibration changes from physical modes	formal response slots do not choose their physical reading
R09	ENERGETIC_OR_SPECTRAL_STABILITY	norm, symplectic form, or dual pairing	CONDITIONAL_OR_CHOSEN	P4 pairing branches and particle operator	defines size and spectral adjointness	no complete native pairing is selected
R10	ENERGETIC_OR_SPECTRAL_STABILITY	boundary domain and wall-germ data	PARTIAL_CHOSEN_OPEN	P4 stability slice	makes the operator differentiable and fixes admissible boundary modes	free higher wall germs block full certification
R11	ENERGETIC_OR_SPECTRAL_STABILITY	conserved, monotone, or coercive certificate	OPEN_NATIVE_CONDITIONAL_IN_SLICES	P4 and Hopfion conditional energy/Hessian results	turns bounded perturbations into a stability statement	positive conditional Hessians are not native time stability
R12	ENERGETIC_OR_SPECTRAL_STABILITY	topology/carrier	CONDITIONAL_POSIT	native Hopfion topology audit	defines the matter configuration space where used	celestial S2 fiber does not select the carrier or section
R13	BOOTSTRAP_SELF_CONSISTENCY	global background/observable state	WORKING_PARTIAL	bootstrap response audits	provides the global argument of the closure loop	complete observable census and physical representative remain open
R14	BOOTSTRAP_SELF_CONSISTENCY	global-to-local admissibility map	OPEN	bootstrap-to-local response ledger	selects which local equations/branches a background admits	a density window is an after-solution filter, not this map
R15	BOOTSTRAP_SELF_CONSISTENCY	local-to-global response map	OPEN	bootstrap-to-local response ledger	recomputes mass/energy/curvature observables from local structures	native mass, source, boundary charge, and total ledger are absent
R16	BOOTSTRAP_SELF_CONSISTENCY	fixed-point existence and branch selection	TYPE_SCHEMA_ONLY	bootstrap closure audits	requires a common state satisfying both arrows	a typed fixed-point equation supplies neither map nor a solution
R17	BOOTSTRAP_SELF_CONSISTENCY	fixed-point linearization and stability criterion	OPEN	bootstrap-to-local response ledger	tests whether a self-consistent state persists under coupled changes	no derivative, norm, or spectrum is selected
