premise_id	object	status	pin_class	use_in_audit	excluded_promotion	controlling_source
SF-P01	founded reciprocal depth phi and pair action	DERIVED	pinned-by-THEORY	type/domain input only	realized profile, dynamics, or boundary	CURRENT_SCIENTIFIC_PREMISES.md
SF-P02	measured c_E and G_obs	OBSERVED	pinned-by-OBSERVATION	scale anchors named; no values used	native action or X_max value	CURRENT_SCIENTIFIC_PREMISES.tsv
SF-P03	four-dimensional Lorentzian representative	CONDITIONAL/INHERITED	pinned-by-stated-premise	conditional causal comparison only	foundation-derived unique representative	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
SF-P04	P4 response alphabet/pairing/posture/variation domain	CHOSE+DERIVED+OPEN	free-and-explored within registered census	source-led compatibility audit	selected physical response law	udt_p4_cold_adversarial_review_2026-08-01/PREMISE_QUANTIFIER_AUDIT.tsv
SF-P05	finite-cell structure	RATIFIED_PROGRAM_CONSTRUCTION	pinned-by-current-program	boundary/completion type census	owner-bedrock or derived physical boundary	P4_ARC_SUMMARY_2026-07-31.md
SF-P06	S2 carrier	POSIT	pinned-by-HYPOTHESIS	conditional comparison only	native carrier or section	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv
SF-P07	L2+L4 action and fixed particle boundary	CONDITIONAL	pinned-by-HYPOTHESIS	conditional energetic-stability row	native complete action/boundary	stability_branch_follow_256_DECISION.md
SF-P08	P4 reduced seam/cell functionals	CONDITIONAL	pinned-by-registered-slice	conditional Hessian/pruner row	complete UDT action or whole stability	udt_p4_stability_slice_2026-07-30/AUDIT_REPORT.md
SF-P09	complete native action/response/source/boundary/mass	OPEN	free-and-unresolved	required-operation gaps	assumed closure	CURRENT_SCIENTIFIC_PREMISES.tsv
SF-P10	bootstrap	WORKING	free-and-unresolved	fixed-point type schema only	local equation, optimizer, or selection theorem	CURRENT_SCIENTIFIC_PREMISES.tsv
SF-P11	geometric persistence diagnostic	CHOSE_DIAGNOSTIC	free-and-explicit	classify admissible one-parameter paths	dynamical stability	this preregistration
SF-P12	abstract stable/unstable/Hessian controls	MATHEMATICAL_CONTROL	pinned-by-logic	nonuniqueness witness only	candidate UDT dynamics	this preregistration
SF-P13	GR/SM/QM/external mechanisms	FORBIDDEN_AFFIRMATIVE_IMPORT	pinned-by-PROTOCOL	comparison/readout only if clearly tagged	native derivation	AGENTS.md
