id	object	status	basis	limit
S01	metric/P4 kinematic response architecture	DERIVED_OR_REGISTERED_IN_STATED_SCOPES	formal configuration and response modules exist	not a native physical evolution
S02	static/time/angular formal module embeddings	FORMAL_EXACT_IN_SCOPE	banked package controls and cold parser/regrade	fixed realized on-shell coexistence open
S03	fixed realized static/time/angular-live finite-cell solution with nonzero live sectors	OPEN	corrected compatible pullback gate G05-G09 fails open	a purely static or mode-zero control does not pass; no negative existence claim beyond audited sources
S04	native evolution or response selector	OPEN	native-action and time-live ledgers	formal time dependence is not physical dynamics
S05	geometric persistence	KINEMATICALLY_DEFINABLE_NOT_PHYSICALLY_SELECTED	admissible one-parameter families can be mapped	no physical family is selected
S06	P4 reduced stationary stability slice	DERIVED_CONDITIONAL	registered quadratic jet<=2 slice, named postures/pairings/wall germs	not whole joint or dynamical stability
S07	corrected no-null Hopfion static finite-box stability	SETTLED_WITHIN_CONDITIONAL_PREMISES	S2 carrier, L2+L4 functional, finite box, audited operator	not carrier emergence, infinite-volume, or time persistence
S08	native energetic/spectral stability	OPEN	functional/domain/pairing/boundary are not jointly selected	opposite-Hessian controls establish underdetermination
S09	bootstrap fixed-point architecture	DERIVED_CONDITIONAL_RESPONSE_SKELETON	two-arrow type structure and density quotient variation	maps, fixed point, derivative, and stability remain open
S10	bootstrap supplies native stability	OPEN	no complete A or R map	working interpretation is not a theorem
S11	complete native action	OPEN	final native-action adjudication	an action may implement closure but is not assumed to precede it
S12	minimal missing realization join	IDENTIFIED	one common u plus E_native plus B_native plus compatible premises	identification does not construct the join
S13	minimal missing persistence join	IDENTIFIED	native response/evolution or certificate with perturbation domain, pairing, and boundary	identification does not choose action, carrier, or dynamics
S14	current whole-audit outcome	FOUNDATIONS_PARTIAL_MINIMAL_JOIN_IDENTIFIED	requirement census plus exact underdetermination controls	current operational stability remains CONDITIONAL_STABILITY_ONLY
