criterion	covered	method	outside_scope
source_provenance	YES	Git_blob_and_SHA256_freeze	untracked_or_pre_July_affirmative_physics
complete_metric	YES	eight_FC07_mapping_torus_witness_families	other_completion_classes
full_screen	YES	arbitrary_SPD_2x2_metric_and_two_jets	nonblock_pair_screen_mixing
Cartan_connection	YES	full_torsion_free_orthonormal_and_coordinate_reconstruction	torsionful_connections
curvature	YES	Riemann_Ricci_scalar_operator_nullity	chosen_curvature_action_or_integral
intrinsic_selection	YES	uniqueness_degeneracy_Killing_curvature_holonomy_gates	invented_tie_break
global_descent	YES	seam_and_lattice_basis_covariance	physical_boundary_selection
response	YES	full_DP_commutator_where_projector_passes	action_or_energy_weight
bootstrap_type	YES	forward_family_return_separation	native_EOM_or_density_fit
Xmax_type	YES	observer_pair_endpoint_dimensional_gate	cosmological_fit_or_value

