object	input_status	outcome_status	dependence	forbidden_promotion
founded_phi_and_reciprocal_pair	DERIVED	UNCHANGED	parent_metric_derivation	extra_scalar_or_preferred_frame
c_E	OBSERVATIONAL_ANCHOR	UNCHANGED	constant_clock_calibration	derived_Xmax_here
L_and_phi0	CHOSE_FREE_CONTROL	UNCHANGED	ell_equals_L_exp_phi0	physical_cell_scale
block_extension_zero_shift_zero_mixing	HABIT_BOUNDED_CONTROL	RETAINED	complete_witness_construction	unique_complete_UDT_metric
eight_monodromies	UNSELECTED_REGISTERED_CONTROLS	ALL_RETAINED	frozen_FC07_registry	physical_branch_ranking
full_SPD_h0	FREE_AND_EXPLORED	EXACT_ENDPOINT_THEOREM	all_positive_definite_initial_screens	generic_sample_universalized_without_proof
flat_step_interpolation	HABIT_BOUNDED_CONTROL	MIDPOINT_RESULT_CONDITIONAL	symmetric_chi_and_flat_seam	UDT_dynamics
bundle_base_projector	BUNDLE_RELATIVE_CONTROL	NONZERO_RESPONSE_ON_VARYING_ROWS	chosen_fibration_presentation	metric_intrinsic_everywhere
curvature_clock_line	FREE_AND_TESTED	DERIVED_CONDITIONAL_BOUNDED	invertible_spatial_curvature_at_generic_midpoint	universal_observer
harmonic_ruler_line	POST_PREREG_C06_REALIZATION	DERIVED_WHEN_b1_EQUALS1	complete_spatial_metric_and_unique_H1	preferred_answer_or_all_completions
constant_holonomy_reciprocal_plane	FREE_AND_TESTED	DERIVED_ON_THREE_CONSTANT_SUBFAMILIES	discrete_holonomy_fixed_space	preferred_clock_axis
relative_projector_response	CONDITIONAL_PARENT_THEOREM	DERIVED_WHERE_SELECTION_PASSES	full_DP_commutator	L2_L4_action_or_energy
Hodge_integral_Ih	DERIVED_GEOMETRIC_READOUT	NONIDENTITY_GLOBAL_TO_LOCAL_CHANNEL	unit_period_normalization	bootstrap_closure_or_density_rule
bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	OPEN	missing_native_equation_and_feedback	settled_mass_mechanism
Xmax	OPEN	OPEN	constant_phi_and_free_ell_insufficient	derived_endpoint
S2_carrier	POSIT	UNCHANGED_EXCLUDED	no_use	carrier_emergence
L2_plus_L4	CONDITIONAL	UNCHANGED_EXCLUDED	no_action_used	native_action
matter_mass_stability	OPEN	OPEN_EXCLUDED	no_source_dynamics_or_Hessian	physical_interpretation

