candidate_id	object	classification	gate
W01	timelike_clock_line	METRIC_INTRINSIC_SET_VALUED_OR_DEGENERATE	flat_holonomy_control
W01	spacelike_ruler_projector	NOT_AVAILABLE	FLAT_IDENTITY_CONTROL_AND_HARMONIC_H1_DIMENSION_EXCEEDS_ONE
W01	relative_projector_response	ZERO_RESPONSE_CONTROL	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W02	timelike_clock_line	METRIC_INTRINSIC_SET_VALUED_OR_DEGENERATE	flat_holonomy_control
W02	spacelike_ruler_projector	METRIC_INTRINSIC_SET_VALUED_OR_DEGENERATE	UNIQUE_SPATIAL_HARMONIC_CLASS_BUT_FLAT_FULL_METRIC_RETAINS_OBSERVER_RECIPROCAL_PLANE_NOT_UNIQUE_CLOCK_AXIS
W02	relative_projector_response	ZERO_RESPONSE_CONTROL	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W03	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W03	spacelike_ruler_projector	METRIC_INTRINSIC_GLOBAL_ON_REGISTERED_PRODUCT	CURVATURE_NULLITY_SELECTS_CLOCK_AT_MIDPOINT_AND_UNIQUE_HARMONIC_H1_SELECTS_RULER_GLOBALLY
W03	relative_projector_response	NONZERO_SOMEWHERE_STRATIFIED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W04	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W04	spacelike_ruler_projector	METRIC_INTRINSIC_GLOBAL_ON_REGISTERED_PRODUCT	CURVATURE_NULLITY_SELECTS_CLOCK_AT_MIDPOINT_AND_UNIQUE_HARMONIC_H1_SELECTS_RULER_GLOBALLY
W04	relative_projector_response	NONZERO_SOMEWHERE_STRATIFIED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W05	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W05	spacelike_ruler_projector	BUNDLE_RELATIVE_CONDITIONAL	CLOCK_CERTIFIED_BY_CURVATURE_BUT_HARMONIC_H1_DIMENSION_EXCEEDS_ONE
W05	relative_projector_response	UNDEFINED_SELECTION_GATE_FAILED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W06	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W06	spacelike_ruler_projector	METRIC_INTRINSIC_GLOBAL_ON_REGISTERED_PRODUCT	CURVATURE_NULLITY_SELECTS_CLOCK_AT_MIDPOINT_AND_UNIQUE_HARMONIC_H1_SELECTS_RULER_GLOBALLY
W06	relative_projector_response	NONZERO_SOMEWHERE_STRATIFIED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W07	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W07	spacelike_ruler_projector	BUNDLE_RELATIVE_CONDITIONAL	CLOCK_CERTIFIED_BY_CURVATURE_BUT_HARMONIC_H1_DIMENSION_EXCEEDS_ONE
W07	relative_projector_response	UNDEFINED_SELECTION_GATE_FAILED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
W08	timelike_clock_line	METRIC_INTRINSIC_GLOBAL	spatial_curvature_operator_invertible_at_midpoint_then_parallel_continuation
W08	spacelike_ruler_projector	BUNDLE_RELATIVE_CONDITIONAL	CLOCK_CERTIFIED_BY_CURVATURE_BUT_HARMONIC_H1_DIMENSION_EXCEEDS_ONE
W08	relative_projector_response	UNDEFINED_SELECTION_GATE_FAILED	det(K)=chi_prime^2*det(Delta)/(4*ell^2*det(h))
