path	role	freeze_status
CURRENT_SCIENTIFIC_PREMISES.md	current_claim_and_premise_authority	FREEZE_AT_PREREG_BASE
CURRENT_SCIENTIFIC_PREMISES.tsv	machine_premise_authority	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/PREREGISTRATION.md	parent_scope	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/EXACT_DERIVATION.md	complete_witness_definition	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/MONODROMY_CANDIDATES.tsv	eight_controls	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/COMPLETE_WITNESS_CENSUS.tsv	complete_metric_and_orientation_rows	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/INVARIANT_SCREEN_STRATA.tsv	constant_and_forced_variation_rows	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/PROJECTOR_DESCENT_ATLAS.tsv	coordinate_projector_control	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/derive_witness_family.py	parent_exact_algebra	FREEZE_AT_PREREG_BASE
udt_torus_bundle_full_screen_witness_2026-08-01/DERIVATION_RESULT.json	parent_machine_result	FREEZE_AT_PREREG_BASE
udt_branchwise_projector_holonomy_census_2026-08-01/AUDIT_REPORT.md	metric_selected_projector_antecedent	FREEZE_AT_PREREG_BASE
udt_branchwise_projector_holonomy_census_2026-08-01/EXACT_DERIVATION.md	parent_response_definitions	FREEZE_AT_PREREG_BASE
udt_branchwise_projector_holonomy_census_2026-08-01/derive_branchwise_projector_gates.py	parent_projector_curvature_algebra	FREEZE_AT_PREREG_BASE
udt_projector_deformation_neighborhood_audit_2026-08-01/AUDIT_REPORT.md	functional_projector_scope	FREEZE_AT_PREREG_BASE
udt_projector_deformation_neighborhood_audit_2026-08-01/EXACT_DERIVATION.md	full_response_algebra	FREEZE_AT_PREREG_BASE
udt_projector_deformation_neighborhood_audit_2026-08-01/derive_deformation_neighborhood.py	parent_full_response_implementation	FREEZE_AT_PREREG_BASE
udt_reciprocal_closure_joint_selector_audit_2026-08-01/AUDIT_REPORT.md	conditional_path_loop_theorem	FREEZE_AT_PREREG_BASE
udt_reciprocal_closure_joint_selector_audit_2026-08-01/EXACT_DERIVATION.md	conditional_projector_response_identity	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/AUDIT_REPORT.md	forward_vs_return_interface	FREEZE_AT_PREREG_BASE
udt_bootstrap_projector_admissibility_interface_2026-08-01/EXACT_DERIVATION.md	formal_bootstrap_intersection	FREEZE_AT_PREREG_BASE
udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	dphi_projector_and_degeneracy_controls	FREEZE_AT_PREREG_BASE
udt_general_screen_complete_cell_atlas_2026-07-28/EXACT_DERIVATION.md	general_screen_Cartan_precedent	FREEZE_AT_PREREG_BASE
udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	projector_transport_precedent	FREEZE_AT_PREREG_BASE
