candidate_id	object	coverage	selection_gate	retained_negative
C00	general_full_screen_Cartan_algebra	arbitrary_SPD_h_and_two_jets	basis_covariance_and_full_tensor	YES
C01	parallel_or_curvature_nullity_clock_line	all_eight_complete_witness_families	unique_intrinsic_timelike_line	YES
C02	vertical_screen_distribution	all_eight_complete_witness_families	metric_recovery_not_bundle_display	YES
C03	base_ruler_line_and_rank1_projector	all_eight_complete_witness_families	unique_intrinsic_spacelike_line_in_clock_complement	YES
C04	parent_relative_projector_curvature	where_C03_passes	full_DP_commutator_and_gauge_covariance	YES
C05	coordinate_vertical_and_base_projectors	all_eight_complete_witness_families	control_only	YES
C06	completion_monodromy_holonomy_return	all_seven_metric_classes_both_orientations	global_descent_and_nonidentity_local_effect	YES
C07	constant_screen_strata	six_registered_monodromies	zero_curvature_response_controls	YES
C08	forced_varying_screen_strata	parabolic_and_hyperbolic	all_SPD_h0_and_complete_seam	YES
C09	optional_varying_screen_strata	order4_order6_exchange_reversing_glide	full_SPD_h0_with_constant_subfamilies_retained	YES
C10	identity_and_minus_identity_collapse	identity_and_central_sign	metric_readout_vs_global_transition_distinction	YES
C11	observer_pair_dilation_Xmax_type_gate	all_surviving_geometric_objects	metric_fixed_endpoint_not_free_L_or_constant_phi	YES
C12	no_intrinsic_projector_outcome	all_complete_witnesses	must_survive_if_uniqueness_fails	YES

