claim_id	claim	status	exact_scope_or_limit
S01	full_FC07_arbitrary_screen_Cartan_connection	DERIVED	registered_constant_depth_block_family_general_h_hdot_hddot
S02	full_spatial_Riemann_Ricci_scalar_formulas	DERIVED	coordinate_and_orthonormal_reconstruction_no_field_equation
S03	nonconstant_unimodular_endpoint_change_has_detDelta_negative	DERIVED	all_SPD_h0_in_registered_linear_in_chi_interpolation
S04	nonconstant_bundle_relative_projector_response_nonzero_interior	DERIVED_CONDITIONAL_ON_BUNDLE_BASE_LINE	all_nonconstant_registered_interpolations
S05	generic_varying_timelike_line_from_curvature_nullity	DERIVED_CONDITIONAL_BOUNDED	six_generic_rational_controls_midpoint_certificate_then_parallel_continuation
S06	unique_harmonic_one_form_line	DERIVED_GLOBAL_ON_REGISTERED_SPATIAL_PRODUCT	minus_identity_order4_order6_hyperbolic_b1_equals1
S07	varying_metric_intrinsic_harmonic_ruler_channel	DERIVED_CONDITIONAL_BOUNDED	order4_order6_hyperbolic_generic_varying_witnesses
S08	forced_varying_unique_harmonic_channel	DERIVED_WITHIN_FROZEN_EIGHT	hyperbolic_only_not_physical_selection_or_all_GL2Z
S09	parabolic_forced_response	DERIVED_BUNDLE_RELATIVE	b1_equals2_so_no_unique_Hodge_line
S10	constant_holonomy_fixed_reciprocal_plane	DERIVED_CONDITIONAL_ON_CONSTANT_SCREEN	minus_identity_order4_order6
S11	preferred_clock_or_ruler_axis_in_constant_plane	OPEN_NOT_SELECTED	observer_frame_family retained
S12	universal_metric_ruler_projector	OPEN_REFUTED_FOR_REGISTERED_FAMILY	identity_and_multiharmonic_or_flat_degeneracy_controls
S13	geometric_global_to_local_channel	DERIVED_CONDITIONAL_BOUNDED	unit_period_harmonic_form depends on whole_cell_integral
S14	native_bootstrap_return_or_same_solution_closure	OPEN	no_E_native_local_admissibility_feedback_density_or_mass
S15	Xmax_from_FC07_family	OPEN	free_ell_constant_phi_no_observer_pair_asymptote
S16	midpoint_positive_isotropic_spatial_curvature	DERIVED_FOR_CHOSEN_SYMMETRIC_INTERPOLATION	not_general_UDT_law_or_dynamics
S17	physical_completion_or_branch_selection	OPEN_NONE	every_row retained without ranking
S18	matter_mass_stability_action_source_carrier	OPEN_EXCLUDED	no physics promotion

