gate_id	gate	failure_trigger	maximum_after_failure
F01	full_tensor	omitted_connection_or_curvature_component	OPEN_INCOMPLETE_ALGEBRA
F02	basis_covariance	failure_under_registered_GL2Z_basis_change	BUNDLE_CHART_ARTIFACT
F03	seam_descent	object_or_tensor_fails_endpoint_pullback	LOCAL_ONLY
F04	orientation	reflection_case_silently_given_global_oriented_coframe	INVALID_GLOBALITY
F05	clock_uniqueness	any_complete_class_has_no_unique_intrinsic_timelike_line	NO_UNIVERSAL_METRIC_CLOCK_SELECTOR
F06	ruler_uniqueness	any_complete_class_has_no_unique_intrinsic_spacelike_line	NO_UNIVERSAL_METRIC_RULER_PROJECTOR
F07	bundle_substitution	coordinate_projector_reported_as_metric_intrinsic_without_gate	INVALID_PROJECTOR_PROMOTION
F08	response_completeness	only_one_component_or_gauge-dependent component used	OPEN_INCOMPLETE_RESPONSE
F09	zero_strata	flat_constant_or_degenerate rows removed	INVALID_POSITIVE_FILTER
F10	bootstrap_return	forward_curvature_readout_called_return_relation	NO_BOOTSTRAP_CLAIM
F11	Xmax	free_L_or_constant_phi_called_derived_endpoint	XMAX_OPEN
F12	physical_selection	branch ranked by nonzero curvature_or_projector	NO_PHYSICAL_SELECTION
F13	independence	verifier imports_production_functions_or_shared_generated_tables	VERIFICATION_INCOMPLETE
F14	premise_scope	action_carrier_density_source_stability_or_matter_imported	OUT_OF_SCOPE

