id	question	result	status	remaining_gate
S01	Does the chosen fractional-linear Xmax law support a real reciprocity?	Yes: A is multiplicative and reversal sends A to its inverse	EXACT_WITHIN_WORKING_XMAX_PLUS_CHOSEN_XR1_AND_METRIC_PHI_JOIN	Finite Xmax and generic group axioms do not force XR1
S01B	Do finite bound, composition, reversal, and regularity force XR1?	No; a smooth conjugated-addition countergroup retains those properties while A is not multiplicative	REFUTED_IMPLICATION	Historical named P2 fractional-linearity is load-bearing
S02	Is x to Xmax squared over x the reciprocity?	No for maximum reach; it leaves the allowed interval	REJECTED_AS_INTERNAL_RECIPROCITY	Could be a separate scale duality on an extended positive domain
S03	Is Xmax reciprocity already a symmetry of the pinned reciprocal metric?	No under natural Mobius recentering with unchanged or constant-rescaled time	REFUTED_IN_TESTED_TRANSFORMATION_CLASS	A new field/frame transformation or different metric would be additional structure
S04	What metric does pure XR1 recentering preserve spatially?	dxi squared over (1-xi squared) squared equals dphi squared	DERIVED_CONDITIONAL_GROUP_METRIC	It differs from the current A-inverse radial coefficient
S05	Why is Xmax unattainable in the current metric?	Current proper radial distance is finite but optical distance diverges	DERIVED_IN_PINNED_STATIC_METRIC	Physical propagation/cosmology remains conditional
S06	Does one-dimensional Xmax reciprocity select the angular sector?	No; local angular curvatures minus one, zero, and plus one all remain possible	REFUTED_IMPLICATION	A global isotropy/homogeneity/group premise would be extra
S07	Can noncollinear positional recentering generate angular holonomy?	Yes after choosing the standard Lorentz/negative-curvature group extension through [Kx,Ky]=-Jz	CHOSE_CONDITIONAL_COMPARISON	A flat isotropic homogeneous bounded-ball extension has commuting translations
S08	Does Xmax fix the CSN representative?	At most one global constant normalization, not local Omega(x)	PARTIAL_CONDITIONAL	A local representative-selection rule remains open
S09	May the Xmax boundary be silently identified with the finite-cell phi seal?	No: relational depth tends to infinity while the absolute static seal convention has phi zero	REJECTED_SILENT_IDENTIFICATION	They may be distinct phi roles/objects; their join remains open rather than contradictory
S10	Does co-presence add the missing transformation law?	No; it remains whole-solution membership semantics	NOT_A_SELECTOR	Global admissibility law remains open
S11	Does Xmax reciprocity select C2, EH, or the variation domain?	No	OPEN	Fields, locality, derivative order, variation, source, and boundary remain independent
S12	Most promising new lead	Determine whether projective/fractional-linear positional composition and a curved 3D group action follow from the metric or require owner adoption	LEAD_NOT_ADOPTED	Must derive rather than assume P2, the field/frame action, curved embedding, and seal join
S13	Maximum conclusion	Exact reciprocity inside chosen XR1 found; XR1 uniqueness and full metric, angular, scale, finite-cell, and action closure not obtained	VERIFIED_WITH_CAVEATS	Bounded kinematic and countermodel audit only
