id	premise	status	use_or_limit
P01	positional dilation	FOUNDING_EXISTS	physical relational comparison exists; form beyond frozen ledger remains audited
P02	reciprocal-c identity	FOUNDING	c and inverse-c are coequal clock-length conversion directions
P03	dual UDT Reciprocity	FOUNDING	positive reciprocal weights satisfy uv=1
P04	regular additive depth composition	POSIT_WITH_REGULARITY	derives exponential channel character on its legitimate one-parameter domain
P05	depth sign and unit	CHOSE_INHERITED	fixes rho orientation and normalization convention inside the reciprocal operator
P06	Common-Scale Neutrality	FOUNDING	removes common positive scale from the reciprocal ray; does not select physical distance
P07	local Lorentzian readout	POSIT_CHOSE_INHERITED	supplies declared metric/coframe controls; not a complete dynamics
P08	observer-frame reciprocity	FOUNDING_MACRO_MEANING	no observer privileged by laws; covariance not identical components
P09	observer self-depth	OWNER_CLARIFIED	rho_p(p)=0 and local physics is unchanged
P10	physical observer distance	NONNEGATIVE_TYPE	signed chart direction must not be called negative distance
P11	projective-position join	OPEN_CANDIDATE	physical normalized separation is not yet identified with the reciprocal-ray coordinate
P12	transnormal distance evaluator	DERIVED_GIVEN_PHYSICAL_METRIC	dD/drho=1/sqrt(B) where B=h^-1(drho,drho)>0 and B=B(rho)
P13	complete-coframe chart multiplication	DERIVED_IN_CHOSEN_TRIVIALIZATION	does not descend to physical metric quotient without a section/solder
P14	timelike local boost-rotation 3+3	DERIVED_LOCAL_COMPARISON	reciprocal weighting is not a Lorentz algebra automorphism and rho is not observer rapidity
P15	X_max meaning	WORKING_OWNER_MEANING	maximum possible observer-pair separation; observer domain pairing functional and value open
P16	c scale role	FOUNDING_OBSERVATIONAL_ANCHOR	converts clock and length units; does not alone provide a dimensionless depth-per-length normalization
P17	round S3 branch	CONDITIONAL_COMPLETE_METRIC_CONTROL	exact homogeneous no-center distance/group control; constant lapse lacks physical clock solder
P18	constant-squashed S3 branch	OFF_SHELL_HOMOGENEOUS_CONTROL	left-invariant homogeneous metric; full cut locus and on-shell selection open
