id	path	sha256	role
S01	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	current_exact_foundation
S02	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	parent_operator_ruling
S03	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	7e03ef2631908a1e26c636bb9beb7410bdc534c9fde1e15d37eb9de5efadf29d	parent_operator_algebra
S04	udt_relational_pair_depth_realization_audit_2026-07-24/AUDIT_REPORT.md	de149d583e63dfd3977a477b4147e24c5bb388421a54cb8e66ff758436a35e5f	parent_relational_ruling
S05	udt_relational_pair_depth_realization_audit_2026-07-24/EXACT_DERIVATION.md	9c029c9cce3f9199e9ab97c01f599eeec50d3561e374f54c691b96a410367065	parent_pair_depth_and_angular_controls
S06	xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4	conditional_projective_position_and_full_frame
S07	udt_metric_native_observer_separation_asymptote_audit_2026-07-24/AUDIT_REPORT.md	cf9fe514f7600461136c0aae27d3ccf74bcbfa135ea3699f3cec66a43311053b	transnormal_metric_distance_evaluator
S08	udt_directional_observer_pair_distance_audit_2026-07-24/EXACT_DERIVATION.md	0062e694262a1c4dea7338b46d6ef0e47408d239993cb909f3af5b9fb8e6db2b	round_and_squashed_distance_controls
S09	udt_native_coframe_composition_law_audit_2026-07-23/AUDIT_REPORT.md	b6f484a77b202b695ac76306e8d0ebf66b14f73b7eb671431c4821259a719ce8	coframe_chart_group_and_gauge_gate
S10	udt_frame_bivector_equivariance_audit_2026-07-23/AUDIT_REPORT.md	030812cf6903a41bac26005326e1104c5dfeb54c5995194de1474bb33b4afa28	local_3plus3_and_no_rapidity_solder
S11	udt_scientific_consolidation_checkpoint_2026-07-23/SCIENTIFIC_CHECKPOINT.md	47900841cb9177fb3909ed74c33408382d3941bcc5eb55a502a6fbe3e03157bc	complete_metric_status_and_nonregression
S12	udt_xmax_observer_separation_audit_2026-07-24/AUDIT_REPORT.md	0e7d4f0b8a9e70a2f45fac494ce737fa4d0deaf4824940953377fa39f345c3ee	global_pair_diameter_and_projective_scope
S13	udt_reciprocal_c_metric_meaning_audit_2026-07-22/AUDIT_REPORT.md	1e63d4fcc03c793e895d9771b925a9e8a295f9e573e55ded62302693c173bc21	c_scale_and_frame_covariance
S14	udt_relational_pair_depth_realization_audit_2026-07-24/POST_PREREG_OWNER_FRAME_CLARIFICATION.md	21e079a53972f48c1e702973246481fa9329fd1e9f0f74b6d734fe723a165381	local_neutral_observer_meaning
