claim	status	scope
reciprocal exponential response	DERIVED_CONDITIONAL_WITH_FOUNDING_PREMISE_STAMPS	ordered reciprocal pair given additive depth
anchored reciprocal projective coordinate	UNIQUE_GIVEN_PROJECTIVE_POSITION_INTERPRETATION	CSN positive ray and three anchors
radial fractional observer transition	DERIVED_ON_RECIPROCAL_PROJECTIVE_RAY	oriented one-parameter chart
negative physical distance	NOT_USED	sign belongs to direction/oriented coordinate
exponential approach in reciprocal depth	DERIVED_FOR_BOTH_BOUNDED_REGISTERED_PROFILES	gap exponent one for WR-L proper; exponent two for projective tanh
early first-order Taylor discrimination	IMPOSSIBLE_AT_LINEAR_ORDER	tanh and exponential saturation share origin and unit slope
tanh as physical proper distance	OPEN_PROJECTIVE_POSITION_SOLDER	requires transnormal B match and selected complete branch
simple exponential physical proper distance	DERIVED_CONDITIONAL_IN_WRL_RADIAL_SLICE	not global pair distance or universal Xmax
round depth-angle transition	DERIVED_CONDITIONAL_ROUND_BRANCH	unit-quaternion relative product and round metric
general noncollinear scalar fractional composition	REFUTED_TYPE_MISMATCH	angular dot/cross data required
reciprocal depth equals Lorentz rapidity	NOT_DERIVED	full Lorentz character/bracket obstruction
complete coframe product is physical observer composition	CHOSE_NOT_DERIVED	independent coframe gauge obstruction
c fixes dimensionless distance-depth profile	NOT_DERIVED_FROM_C_ALONE	c converts clock and length units
physical global Xmax	OPEN_NOT_PROMOTED	complete branch pairing diameter and scale join missing
local observer physics	NEUTRAL_SELF_DEPTH_UNCHANGED	rho_p(p)=0 every observer
overall	PROJECTIVE_RADIAL_TRANSITION_DERIVED_PHYSICAL_DISTANCE_SOLDER_OPEN	verified bounded controls
