path	role
udt_g294_nonsignalling_copresence_network_architecture_2026-08-29/OWNER_INPUT.md	owner intuition and authorization boundary
founding.md	F1-F4 and W1-W5 status
CURRENT_SCIENTIFIC_PREMISES.tsv	exact current ownership registry
udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/AUDIT_REPORT.md	provisional even mutual channel
udt_g269_null_transport_mutual_clock_screen_interlock_2026-08-26/AUDIT_REPORT.md	metric screen-aware mutual clock theorem
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	path-labelled frame composition
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/AUDIT_REPORT.md	dimensional scale attachment boundary
udt_g284_emergent_ce_causal_projective_value_law_audit_2026-08-27/AUDIT_REPORT.md	causal reconstruction and nonselection
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	current propagation gap
udt_g293_history_law_architecture_constraint_funnel_2026-08-29/AUDIT_REPORT.md	primitive-state architecture funnel
