path	role	bytes	sha256
udt_g294_nonsignalling_copresence_network_architecture_2026-08-29/OWNER_INPUT.md	owner intuition and authorization boundary	679	acd87e92083a407e84aee9bce0bb0649daddb1e8cd62ed49c5d9a071887662ac
founding.md	F1-F4 and W1-W5 status	40455	4d0bd9708ad57598418d13961e41306badfc15e2446e7911074a64758bed6af2
CURRENT_SCIENTIFIC_PREMISES.tsv	exact current ownership registry	556862	047225d57c3b9500ab9aa783a2ba27cf52f6a7346057e6d56f515169fa5ff7e4
udt_g267_sech_mutual_clock_projection_consequence_classification_2026-08-26/AUDIT_REPORT.md	provisional even mutual channel	2026	a1d53fb901892d65db3c30e57960eda1e9060233fecf206a37b85b2317ed0f75
udt_g269_null_transport_mutual_clock_screen_interlock_2026-08-26/AUDIT_REPORT.md	metric screen-aware mutual clock theorem	1846	673a867b5b3c025a0cb07178edcabc5578a108e395834980ecaa4596febbb9f3
udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	path-labelled frame composition	2306	551bb9492118f941e0f30b0905255b2e97f7cf9b5fa23ce1d5a179809d13dabb
udt_g276_proper_clock_ce_scale_anchor_reconciliation_2026-08-26/AUDIT_REPORT.md	dimensional scale attachment boundary	2987	cc66be850523fac561b411b32d7532069d838a6d6e6800568afd72f5560b862d
udt_g284_emergent_ce_causal_projective_value_law_audit_2026-08-27/AUDIT_REPORT.md	causal reconstruction and nonselection	4401	03d89ff05f813d0ba28dc0cca6fde6012b392e4549c40deecee481e21464ef49
udt_g286_complete_germ_propagation_discriminator_2026-08-28/AUDIT_REPORT.md	current propagation gap	3619	58e994cca476085c0e5c878d1932a3e94f7b0190ca21456331d803c4bc23a8fe
udt_g293_history_law_architecture_constraint_funnel_2026-08-29/AUDIT_REPORT.md	primitive-state architecture funnel	4576	cb7322917279007c0cce38b499fe9aee510a72244646e253a74c54fcac18f3d8
