statement	status	scope
nonpropagating_copresence_is_not_a_speed	DERIVED_TYPE_CLASSIFICATION	bounded architecture language
positive_pair_magnitude_with_signed_depth	DERIVED_CONDITIONAL	supplied ordered pair and magnitude
chi_odd_M_sech_even	CONDITIONAL	G267 provisional planar consequence class
M_PT_screen_bound	DERIVED_CONDITIONAL	G269 supplied regular null relation and endpoint clocks
cE_alone_no_absolute_length	DERIVED_DIMENSIONAL	cE plus no other dimensional datum
ell_equals_cE_Tstar	DERIVED_CONDITIONAL	one independent proper-clock attachment
symmetric_relation_not_transitive	DERIVED	finite exact graph witness
physical_global_now_requires_owned_integrability	DERIVED_TYPE_REQUIREMENT	does not require a new field if metric derives it
correlation_can_coexist_with_zero_same_slice_response	DERIVED_MATHEMATICAL_CONTROL	not a physical UDT mechanism
instant_constraint_enforcement_can_signal	DERIVED_MATHEMATICAL_CONTROL	freely controlled local intervention
metric_cones_define_causal_support_set	DERIVED_CONDITIONAL	supplied Lorentz metric
UDT_response_operator	OPEN	no light matter or transfer equation imported
copresence_selects_history	NOT_DERIVED	regular static counterfamily survives
complete_constraint_plus_causal_update	WELL_TYPED_CANDIDATE_ARCHITECTURE	formula and ownership open
literal_infinite_signal_speed	NOT_ADOPTED	owner metaphor retyped rather than canonized
distant_star_image_is_copresent_state	OPEN	requires native observation/transfer law
