item	status	use_in_G294	forbidden_promotion
F1_cE	OBSERVED_FOUNDATIONAL_INTERPRETATION	dimensional clock ruler conversion	absolute length or history law
F2_F3_reciprocity	DERIVED_ON_SUPPLIED_DEPTH	oriented reversal and group representation	physical separation attachment
W2_copresence	WORKING_SEMANTICS_ONLY	candidate architecture under test	canon or existing value law
W5_projective_position	WORKING_FOUNDATIONAL_CLARIFICATION	odd complete projective channel	proper distance global history or Xmax
G267_sech	CONDITIONAL_PROVISIONAL_PLANAR_CANDIDATE	even mutual-channel witness	universal complete metric equality
G269_MPT	DERIVED_CONDITIONAL_ON_SUPPLIED_NULL_RELATION	complete metric screen-aware mutual scalar	query population or signalling law
G274_frame_carry	DERIVED_CONDITIONAL_ON_SUPPLIED_PATH	complete network composition typing	path independence
G276_scale	DERIVED_CONDITIONAL_WITH_INDEPENDENT_CLOCK_RECORD	dimensional attachment control	cE-alone scale
G284_cones	DERIVED_CONDITIONAL_RECONSTRUCTION	metric causal support and nonselection control	value law
G286_propagation_gap	BOUNDED_DERIVED_COUNTERMODEL	current identity-layer nonselection	no-go against stronger native law
G293_architecture	INTERNAL_VERIFIED_WITH_CAVEATS	primitive-state/data partition	selected law
global_foliation	OPEN_CANDIDATE	classify integrability and ownership	metric-derived preferred time
causal_response_operator	OPEN_REQUIRED_FOR_NONSIGNALLING	architecture/certification type	imported light or matter equation
physical_history	OPEN	nonselection test	selected universe
